"id"	"Daily.events"	"Prioritising.workload"	"Writing.notes"	"Workaholism"	"Thinking.ahead"	"Final.judgement"	"Reliability"	"Keeping.promises"	"Loss.of.interest"	"Friends.versus.money"	"Funniness"	"Fake"	"Criminal.damage"	"Decision.making"	"Elections"	"Self.criticism"	"Judgment.calls"	"Hypochondria"	"Empathy"	"Eating.to.survive"	"Giving"	"Compassion.to.animals"	"Borrowed.stuff"	"Loneliness"	"Cheating.in.school"	"Health"	"Changing.the.past"	"God"	"Dreams"	"Charity"	"Number.of.friends"	"Waiting"	"New.environment"	"Mood.swings"	"Appearence.and.gestures"	"Socializing"	"Achievements"	"Responding.to.a.serious.letter"	"Children"	"Assertiveness"	"Getting.angry"	"Knowing.the.right.people"	"Public.speaking"	"Unpopularity"	"Life.struggles"	"Happiness.in.life"	"Energy.levels"	"Small...big.dogs"	"Personality"	"Finding.lost.valuables"	"Getting.up"	"Interests.or.hobbies"	"Parents..advice"	"Questionnaires.or.polls"
"42"	3	1	4	4	5	1	3	4	5	1	4	1	1	3	1	5	3	1	4	1	1	1	1	1	2	1	1	3	4	1	3	3	5	2	3	5	2	5	4	3	3	2	3	5	2	5	4	5	3	1	2	4	3	3
"43"	3	4	2	3	5	3	5	5	3	5	4	1	1	2	1	3	3	1	5	2	4	5	5	3	1	2	2	4	4	3	3	5	4	1	3	2	2	1	3	2	2	4	4	4	2	4	3	1	4	5	3	4	2	2
"44"	3	4	5	5	4	2	5	5	3	5	3	2	3	3	4	5	3	2	4	3	4	3	3	3	5	3	3	1	3	3	4	2	4	3	3	4	4	2	4	4	4	5	3	3	3	4	5	1	3	4	4	4	3	3
"45"	5	4	5	3	3	3	4	5	2	5	3	1	3	3	5	2	5	3	5	3	5	5	5	4	5	4	3	5	3	3	5	2	1	3	4	3	3	1	5	4	3	5	2	4	5	4	4	2	3	2	1	4	3	4
"46"	5	5	5	5	5	5	5	5	4	5	5	5	4	5	1	5	5	5	1	4	1	5	4	4	1	5	5	3	2	2	2	2	5	2	5	5	4	5	4	4	3	4	5	5	2	4	2	1	2	5	1	5	1	3
"47"	3	3	3	2	3	5	5	5	3	5	3	1	3	4	1	3	3	1	3	2	4	3	5	2	4	3	3	3	5	3	5	2	5	2	3	3	3	2	5	3	3	3	2	1	2	4	5	3	4	2	5	5	4	2
"48"	3	4	5	3	3	1	4	4	2	5	3	2	1	3	2	3	3	1	4	2	4	2	2	2	4	5	2	2	3	1	4	1	2	4	4	2	4	3	3	5	5	4	5	3	2	4	4	1	4	2	3	3	3	1
"49"	3	5	4	4	3	3	5	5	3	2	3	4	2	2	5	5	5	1	4	2	4	4	4	5	5	5	2	1	4	2	2	3	4	3	4	4	3	1	3	5	3	5	3	5	2	4	5	4	4	3	1	3	3	3
"50"	2	1	3	3	2	1	3	3	3	4	4	2	2	3	1	3	3	1	4	2	3	4	3	4	4	2	4	2	3	1	4	2	3	4	3	2	3	3	2	2	4	3	5	3	2	3	3	3	3	3	2	3	3	1
"51"	3	2	4	2	5	2	3	4	4	3	2	4	5	5	4	5	5	3	4	1	2	4	4	3	3	4	1	5	3	2	3	2	5	4	4	2	3	4	4	3	3	4	4	4	4	4	3	2	3	4	3	4	3	3
"52"	3	5	4	5	4	4	5	5	2	5	4	1	2	3	5	3	3	1	5	1	5	5	1	2	4	3	1	5	3	3	3	2	4	3	4	3	3	4	5	5	4	4	3	3	4	4	5	3	3	5	2	4	4	4
"53"	1	2	1	3	4	3	3	4	5	4	5	2	2	4	4	3	5	2	5	3	3	4	4	3	3	4	1	5	3	3	5	2	4	3	4	3	3	3	3	4	3	3	3	3	3	2	3	5	3	1	4	4	3	1
"54"	3	3	5	2	5	3	5	5	1	5	1	1	1	3	5	3	5	1	5	5	5	3	5	3	5	3	5	5	3	1	5	1	4	2	1	5	2	1	5	5	2	2	2	5	2	4	5	4	3	3	5	5	4	4
"55"	2	1	2	4	5	1	5	5	3	3	5	1	4	3	3	4	5	1	5	3	4	5	4	3	3	3	3	3	3	3	5	3	5	2	4	5	4	5	5	3	1	5	3	3	3	3	5	4	3	3	3	5	3	3
"56"	3	4	2	3	3	2	4	4	4	4	4	3	1	5	3	5	5	4	4	2	2	5	5	3	2	4	5	3	2	2	4	1	3	4	2	1	4	3	2	4	5	3	4	3	2	4	2	3	3	2	3	3	2	3
"57"	2	3	3	5	4	3	5	5	5	5	3	2	2	5	3	5	5	3	5	3	4	5	5	5	4	4	1	1	3	3	5	3	2	3	4	3	3	4	5	3	3	4	3	3	3	4	3	5	3	2	5	5	3	3
"58"	2	3	3	2	5	2	4	5	2	3	1	2	1	5	4	5	5	3	4	1	4	5	4	2	5	5	5	4	4	2	4	1	2	3	4	2	2	3	2	3	4	1	5	5	5	3	2	2	3	2	5	1	5	2
"59"	4	5	5	4	5	3	5	5	1	5	3	4	3	5	4	5	5	4	4	4	2	5	5	5	4	5	4	1	3	1	3	1	2	5	5	3	1	1	4	2	1	4	3	5	3	4	2	4	3	1	3	3	4	4
"60"	5	4	4	4	4	1	5	4	5	3	4	5	1	1	5	4	1	4	1	2	1	1	5	3	5	4	4	4	4	2	2	2	1	3	4	2	3	5	3	5	1	2	5	5	2	3	3	3	3	3	5	5	3	3
"61"	4	1	2	5	4	3	5	4	4	4	4	4	3	4	5	5	4	4	5	3	2	3	5	4	4	4	3	3	3	3	3	2	5	4	4	2	1	2	3	2	3	3	5	3	1	4	3	1	2	3	4	5	3	2
"62"	2	4	3	3	4	1	4	3	1	3	3	1	5	3	5	4	5	3	5	1	3	5	3	4	5	5	3	2	3	3	3	2	3	3	4	3	4	3	3	4	4	5	1	4	4	3	3	1	3	2	4	3	4	2
"63"	1	4	3	5	5	4	5	5	1	3	5	1	5	4	4	4	5	1	5	5	3	4	4	1	4	4	3	1	4	1	5	2	3	1	4	3	2	4	3	4	2	5	3	2	1	3	5	5	3	1	3	5	4	1
"64"	4	3	3	3	3	1	5	4	3	4	3	2	4	3	3	2	4	1	2	1	3	3	4	2	5	3	1	3	3	2	5	4	4	3	5	2	3	1	3	4	2	3	3	3	1	4	4	3	3	4	4	5	3	3
"65"	3	1	1	3	5	5	3	3	4	4	5	2	1	5	1	5	5	1	5	1	2	5	5	1	2	5	5	4	3	1	3	1	3	5	5	5	3	2	3	4	4	5	4	4	5	4	4	2	3	3	5	1	4	2
"66"	2	1	2	3	3	2	2	4	5	3	3	3	5	2	1	1	4	1	2	3	3	3	4	3	5	2	5	5	4	1	3	2	1	4	3	4	3	2	2	5	4	3	5	3	1	3	3	4	3	3	5	3	3	2
"67"	2	3	1	3	3	1	2	5	3	5	2	3	1	3	5	3	3	1	3	4	3	2	2	3	5	3	3	4	3	1	3	2	4	3	2	3	3	2	3	3	2	5	3	2	3	4	4	5	4	1	3	2	3	3
"68"	3	3	2	5	4	4	4	5	2	5	3	2	1	2	5	5	4	1	5	3	3	3	4	2	1	2	1	4	4	2	4	2	4	3	3	3	2	2	3	5	3	3	3	3	3	5	4	2	4	3	1	4	2	3
"69"	2	1	4	4	2	5	3	4	4	5	5	2	1	1	5	5	3	3	1	1	5	4	2	4	5	2	5	5	3	1	2	3	1	4	3	2	3	3	4	2	4	5	5	4	3	4	3	2	3	3	4	1	2	3
"70"	2	4	3	5	3	1	3	3	1	5	1	3	2	5	4	5	4	4	2	4	4	4	3	3	1	4	3	5	2	5	3	4	4	4	2	4	5	1	3	4	3	5	2	5	3	3	5	2	4	3	3	3	4	3
"71"	2	4	2	3	2	3	3	5	1	3	2	2	2	2	3	4	4	2	3	1	3	3	3	3	1	3	3	3	3	3	4	2	3	3	3	3	3	1	4	3	3	3	4	4	3	5	4	4	4	3	3	4	5	3
"72"	3	4	2	4	4	2	4	4	3	3	5	3	4	5	5	4	3	1	3	1	4	3	4	3	4	5	3	4	3	3	3	2	4	3	4	3	3	3	3	5	3	4	5	4	1	4	5	3	4	3	3	4	3	3
"73"	2	3	4	2	3	3	4	3	1	5	4	4	4	4	2	2	3	1	5	2	3	5	5	5	5	4	5	5	3	2	5	2	3	3	4	4	3	3	5	3	4	3	5	3	5	3	4	4	3	4	2	3	3	1
"74"	3	5	2	1	3	4	5	4	3	4	5	4	1	4	1	3	3	2	4	2	2	5	2	3	5	5	3	5	4	3	4	1	5	2	3	3	4	3	4	3	3	4	5	3	3	5	3	3	3	1	5	3	4	3
"75"	5	5	4	4	5	5	5	5	1	1	1	1	5	4	5	5	5	1	1	5	1	4	5	3	2	2	3	5	3	3	2	2	4	5	4	2	2	3	4	4	3	4	4	4	1	3	2	1	3	1	1	1	4	3
"76"	4	3	4	4	5	3	4	5	1	5	2	1	1	2	1	4	5	4	4	2	2	3	5	2	3	5	1	5	3	4	5	2	5	2	5	3	2	2	3	3	2	4	1	3	1	4	3	5	3	3	4	5	3	2
"77"	4	4	4	4	4	4	5	5	2	4	4	1	2	5	1	2	5	1	4	1	2	4	4	2	5	4	2	5	3	2	4	1	3	3	3	3	2	1	5	3	4	3	5	2	4	4	5	2	3	2	4	5	4	2
"78"	3	2	4	4	3	1	3	3	5	4	4	1	1	2	5	3	3	1	5	1	3	5	5	1	3	4	3	1	3	1	4	3	5	3	4	3	4	4	4	3	4	2	5	2	2	4	5	4	3	5	3	5	4	4
"79"	1	3	5	5	5	1	5	5	1	4	2	1	1	5	3	4	5	1	5	3	4	5	5	2	1	3	1	1	3	4	3	4	4	3	3	4	2	3	5	4	2	2	4	5	5	5	5	4	3	5	4	5	4	2
"80"	2	1	1	3	1	3	3	2	1	1	2	3	1	1	5	5	2	1	4	3	2	5	4	3	5	3	1	2	3	1	3	2	4	3	3	2	3	4	5	5	2	1	5	5	5	4	3	2	4	3	5	3	4	2
"81"	4	1	1	2	2	2	4	3	2	4	3	2	1	5	5	3	5	3	5	3	5	5	4	3	5	4	4	3	3	2	4	1	2	3	4	3	4	4	4	4	3	4	5	4	2	3	4	3	4	2	5	4	3	4
"82"	3	3	3	4	4	3	4	4	3	4	3	1	3	3	4	3	4	1	4	2	3	4	5	3	2	2	2	1	3	2	5	2	5	2	4	4	4	1	4	4	2	4	2	3	2	4	5	1	4	4	4	5	3	1
"83"	1	1	2	2	2	1	3	2	3	4	2	2	3	4	1	4	5	1	2	5	2	5	5	5	4	2	3	5	3	1	1	3	1	4	4	1	3	2	3	5	3	1	5	1	5	3	2	4	3	5	5	3	3	3
"84"	1	3	5	3	3	3	5	4	1	3	5	2	2	2	5	1	4	1	5	1	5	5	5	2	5	5	5	4	3	3	4	3	5	5	5	3	3	1	5	5	5	3	3	3	5	3	4	1	3	4	5	3	2	3
"85"	1	4	5	5	5	5	5	5	5	3	4	4	5	1	5	4	4	2	5	3	3	5	4	3	5	5	5	4	5	1	5	2	5	3	5	5	3	3	5	4	4	3	4	1	2	5	4	5	4	3	5	5	4	1
"86"	2	1	2	4	3	2	4	5	3	4	4	3	4	3	1	4	5	3	3	2	4	4	5	3	1	3	1	4	3	3	4	2	3	3	3	1	3	5	4	3	3	3	4	5	2	3	3	2	3	3	5	4	2	3
"87"	5	2	4	4	5	5	4	4	1	5	4	4	2	5	5	4	4	1	4	3	2	3	4	4	2	2	3	5	4	3	3	2	5	3	4	4	3	4	3	2	1	2	4	4	1	4	3	3	3	4	5	3	4	3
"88"	5	4	3	4	3	1	4	4	1	4	3	1	2	3	2	4	5	1	5	1	5	3	4	1	5	3	2	5	3	1	3	2	4	3	4	3	3	2	5	5	3	4	3	4	4	4	5	3	3	3	2	3	3	3
"89"	5	1	5	5	5	1	3	3	5	5	4	1	1	5	5	5	5	4	5	4	3	5	5	5	5	5	1	5	3	3	3	1	1	5	3	4	1	5	5	3	5	1	5	1	1	2	1	1	3	4	5	1	5	5
"90"	4	3	2	3	4	4	4	4	2	5	4	3	2	5	5	4	3	4	5	4	2	5	5	3	3	4	3	5	3	3	3	2	3	3	4	2	3	3	5	5	5	3	4	5	5	3	3	1	3	4	3	3	4	2
"91"	1	1	1	1	1	4	3	5	2	3	3	2	1	5	3	4	4	1	5	4	4	2	1	3	5	4	5	5	4	3	3	1	3	3	3	2	3	4	3	1	4	3	2	4	5	4	5	3	3	2	5	3	3	2
"92"	3	3	5	5	5	5	3	5	3	5	3	1	1	5	1	3	3	3	5	3	3	1	2	2	5	3	3	5	3	2	3	1	4	3	3	5	3	3	4	4	5	5	5	5	2	5	5	1	3	3	5	4	4	3
"93"	2	2	4	2	5	5	4	5	5	4	3	3	1	3	2	5	4	1	3	3	2	5	5	4	2	2	3	5	4	3	4	2	5	3	4	5	5	4	5	4	3	4	1	4	3	4	3	5	3	3	2	5	4	4
"94"	2	1	1	2	1	1	2	4	1	1	4	2	4	2	2	4	1	1	2	4	1	2	4	3	5	1	1	5	2	1	5	5	5	2	2	3	2	1	3	5	1	3	2	3	1	5	5	5	5	3	3	5	2	2
"95"	2	2	1	1	3	2	3	3	4	4	3	2	4	2	4	2	4	2	2	4	2	5	3	2	5	4	3	1	2	1	2	2	3	4	4	4	2	2	2	4	4	4	5	2	1	3	3	4	3	2	4	2	1	1
"96"	5	1	5	2	3	1	4	5	4	4	3	3	1	4	5	4	3	1	4	4	4	4	4	4	5	2	3	3	4	3	4	1	3	2	4	2	3	4	3	3	3	4	4	4	3	4	3	2	4	3	5	3	2	2
"97"	1	1	1	2	4	5	3	5	1	5	5	1	2	3	1	3	3	1	5	1	1	3	3	2	2	2	4	5	4	1	3	4	5	2	2	2	2	5	1	1	2	1	5	1	1	4	4	4	3	4	5	1	2	3
"98"	1	1	1	3	2	1	4	5	5	3	4	4	5	1	5	4	3	1	4	4	1	2	5	5	5	1	5	5	4	2	2	4	5	5	2	3	4	3	5	5	2	4	2	3	1	3	3	3	3	1	1	5	3	1
"99"	1	1	2	2	3	3	5	5	3	3	4	2	1	3	1	5	5	3	5	3	1	5	3	5	5	3	2	5	3	1	4	5	5	5	5	3	2	3	4	3	1	3	2	2	1	3	3	3	4	3	5	5	1	2
"100"	3	4	5	2	4	4	5	5	2	2	2	2	1	4	4	4	5	1	5	1	3	5	5	3	2	4	2	3	3	1	2	3	4	4	3	4	4	5	4	3	3	4	4	2	5	4	3	3	4	3	2	2	4	5
"101"	1	5	5	3	4	4	4	5	1	5	4	1	1	5	5	2	4	1	5	1	5	3	5	3	3	1	1	5	4	2	5	3	3	1	5	4	5	1	5	3	2	3	4	2	5	5	5	3	4	4	5	3	4	4
"102"	3	1	1	4	4	4	2	2	4	4	4	2	1	1	1	4	4	4	4	1	1	3	5	3	5	2	3	5	4	3	4	3	4	4	4	3	4	4	3	2	4	3	4	1	1	4	3	4	4	2	3	3	3	2
"103"	4	5	5	5	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	4	4	5	3	4	2	3	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3
"104"	5	4	1	4	5	5	5	2	5	5	4	2	1	1	5	5	5	1	5	1	1	1	2	2	4	4	1	5	3	1	2	1	5	3	5	5	4	4	2	4	2	4	2	4	2	5	4	1	4	4	1	4	5	1
"105"	5	4	2	4	5	1	5	5	1	1	3	5	1	4	5	5	5	1	3	1	1	5	3	1	2	1	1	1	4	3	3	2	5	3	4	3	1	2	3	2	2	5	2	5	1	5	5	4	3	3	4	3	4	1
"106"	2	3	1	3	4	4	4	4	2	4	1	2	4	3	3	5	3	1	3	5	3	4	5	2	2	3	4	4	3	2	2	3	3	2	2	3	4	3	2	4	1	1	4	5	2	3	4	4	3	5	3	3	3	3
"107"	4	4	5	3	4	4	5	4	2	5	3	3	2	4	5	4	5	1	5	4	4	5	5	4	5	2	5	4	3	2	4	2	4	5	3	3	3	3	4	4	3	3	5	3	3	4	4	3	3	2	3	4	3	3
"108"	5	1	3	5	3	1	5	2	1	5	5	2	4	1	4	4	5	1	3	1	5	5	2	1	5	3	1	5	3	1	5	1	1	5	3	1	1	3	3	2	5	3	4	3	4	5	5	5	3	4	1	5	5	1
"109"	1	2	3	2	2	1	4	5	3	4	2	5	1	2	3	2	4	1	5	2	1	5	4	5	2	1	4	3	2	2	1	3	2	5	4	1	4	3	4	4	4	2	1	3	5	2	3	4	4	2	2	1	2	2
"110"	4	1	1	1	4	3	2	3	2	4	5	3	4	2	1	4	4	2	4	3	3	3	4	4	4	3	4	2	3	2	3	2	4	3	4	1	4	5	3	5	4	4	4	3	2	3	3	5	3	4	5	2	3	2
"111"	3	1	2	2	3	3	3	4	4	4	5	2	4	3	4	5	5	3	5	2	3	5	3	3	2	3	2	4	4	1	3	2	3	4	5	4	3	3	3	4	1	4	4	4	2	4	4	3	3	2	4	3	3	5
"112"	2	1	3	2	2	3	2	4	2	5	3	4	5	2	1	4	4	4	5	4	2	5	4	5	5	2	5	5	2	3	5	2	4	5	5	2	2	4	2	2	4	3	5	5	5	2	2	3	2	4	5	3	3	1
"113"	1	4	5	4	3	3	4	5	3	5	3	1	3	3	5	3	4	1	5	2	2	3	4	3	3	3	3	5	3	3	3	2	3	5	4	3	3	1	4	3	4	4	5	5	4	3	3	1	3	3	4	4	3	3
"114"	3	3	4	3	3	4	4	4	1	1	2	1	2	2	2	2	4	1	2	2	2	4	4	2	3	3	3	1	4	2	3	3	3	3	3	4	2	2	5	4	4	4	1	4	4	4	4	3	3	5	2	3	4	4
"115"	3	3	5	4	3	1	5	4	3	4	4	1	1	3	5	4	2	1	5	1	2	3	4	2	3	3	2	1	4	1	4	3	5	4	4	3	2	3	1	3	3	5	5	5	2	4	5	1	3	4	2	4	4	3
"116"	5	1	3	2	3	2	5	5	5	3	2	3	1	5	5	5	5	2	3	1	3	3	5	5	5	4	3	3	3	3	3	2	3	3	5	3	3	3	1	3	3	4	3	5	3	4	2	1	3	3	3	3	3	5
