description,feature name,category,type
I eat because I have to. I don't enjoy food and eat as fast as I can.,Eating to survive,personality_viewsOnLife_opinions,numeric
I try to give as much as I can to other people at Christmas.,Giving,personality_viewsOnLife_opinions,numeric
I don't like seeing animals suffering.,Compassion to animals,personality_viewsOnLife_opinions,numeric
I look after things I have borrowed from others.,Borrowed stuff,personality_viewsOnLife_opinions,numeric
I feel lonely in life.,Loneliness,personality_viewsOnLife_opinions,numeric
I used to cheat at school.,Cheating in school,personality_viewsOnLife_opinions,numeric
I worry about my health.,Health,personality_viewsOnLife_opinions,numeric
I wish I could change the past because of the things I have done.,Changing the past,personality_viewsOnLife_opinions,numeric
I believe in God.,God,personality_viewsOnLife_opinions,numeric
I always have good dreams.,Dreams,personality_viewsOnLife_opinions,numeric
I always give to charity.,Charity,personality_viewsOnLife_opinions,numeric
I have lots of friends.,Number of friends,personality_viewsOnLife_opinions,numeric
I am very patient.,Waiting,personality_viewsOnLife_opinions,numeric
I can quickly adapt to a new environment.,New environment,personality_viewsOnLife_opinions,numeric
My moods change quickly.,Mood swings,personality_viewsOnLife_opinions,numeric
I am well mannered and I look after my appearance.,Appearence and gestures,personality_viewsOnLife_opinions,numeric
I enjoy meeting new people.,Socializing,personality_viewsOnLife_opinions,numeric
I always let other people know about my achievements.,Achievements,personality_viewsOnLife_opinions,numeric
I think carefully before answering any important letters.,Responding to a serious letter,personality_viewsOnLife_opinions,numeric
I enjoy childrens' company.,Children,personality_viewsOnLife_opinions,numeric
I am not afraid to give my opinion if I feel strongly about something.,Assertiveness,personality_viewsOnLife_opinions,numeric
I can get angry very easily.,Getting angry,personality_viewsOnLife_opinions,numeric
I always make sure I connect with the right people.,Knowing the right people,personality_viewsOnLife_opinions,numeric
I have to be well prepared before public speaking.,Public speaking,personality_viewsOnLife_opinions,numeric
I will find a fault in myself if people don't like me.,Unpopularity,personality_viewsOnLife_opinions,numeric
I cry when I feel down or things don't go the right way.,Life struggles,personality_viewsOnLife_opinions,numeric
I am 100% happy with my life.,Happiness in life,personality_viewsOnLife_opinions,numeric
I am always full of life and energy.,Energy levels,personality_viewsOnLife_opinions,numeric
"I prefer big dangerous dogs to smaller, calmer dogs.",Small - big dogs,personality_viewsOnLife_opinions,numeric
I believe all my personality traits are positive.,Personality,personality_viewsOnLife_opinions,numeric
If I find something the doesn't belong to me I will hand it in.,Finding lost valuables,personality_viewsOnLife_opinions,numeric
I find it very difficult to get up in the morning.,Getting up,personality_viewsOnLife_opinions,numeric
I have many different hobbies and interests.,Interests or hobbies,personality_viewsOnLife_opinions,numeric
I always listen to my parents' advice.,Parents' advice,personality_viewsOnLife_opinions,numeric
I enjoy taking part in surveys.,Questionnaires or polls,personality_viewsOnLife_opinions,numeric
I save all the money I can.,Finances,spending_habits,numeric
I enjoy going to large shopping centres.,Shopping centres,spending_habits,numeric
I prefer branded clothing to non branded.,Branded clothing,spending_habits,numeric
I spend a lot of money on  partying and socializing.,Entertainment spending,spending_habits,numeric
I spend a lot of money on my appearance.,Spending on looks,spending_habits,numeric
I spend a lot of money on gadgets.,Spending on gadgets,spending_habits,numeric
"I will hapilly pay more money for good, quality or healthy food.",Spending on healthy eating,spending_habits,numeric
Age,Age,demographics,numeric
Gender,Gender,demographics,categorical
Highest education achieved,Education,demographics,categorical
I am the only child,Only child,demographics,categorical
