"id"	"Music"	"Slow.songs.or.fast.songs"	"Dance"	"Folk"	"Country"	"Classical.music"	"Musical"	"Pop"	"Rock"	"Metal.or.Hardrock"	"Punk"	"Hiphop..Rap"	"Reggae..Ska"	"Swing..Jazz"	"Rock.n.roll"	"Alternative"	"Latino"	"Techno..Trance"	"Opera"	"Movies"	"Horror"	"Thriller"	"Comedy"	"Romantic"	"Sci.fi"	"War"	"Fantasy.Fairy.tales"	"Animated"	"Documentary"	"Western"	"Action"
"49"	5	4	3	1	1	1	4	3	2	1	2	5	5	2	2	2	4	2	1	3	2	2	3	2	2	1	2	2	3	1	2
"50"	5	4	2	1	2	2	2	3	5	3	5	3	2	2	4	2	1	2	1	5	3	4	5	3	3	3	5	3	1	1	4
"51"	4	3	2	4	2	5	5	5	5	2	4	4	4	3	4	4	5	1	2	5	1	5	5	4	2	4	4	4	4	1	5
"52"	5	3	3	3	1	4	3	5	4	3	2	2	4	4	4	3	5	3	2	5	2	4	5	5	4	3	5	5	4	3	5
"53"	5	3	5	5	5	5	5	5	5	4	2	5	5	5	5	2	5	2	5	5	5	5	5	5	5	5	5	5	5	5	5
"54"	5	3	4	4	3	4	5	4	3	2	2	3	3	3	3	3	5	2	5	5	3	3	5	5	1	5	5	3	3	1	5
"55"	5	3	5	5	3	5	5	5	5	4	3	3	3	4	4	3	5	4	5	5	5	5	5	5	5	3	5	5	5	2	5
"56"	5	3	4	2	2	4	3	4	3	3	2	4	3	3	4	4	4	5	3	5	2	4	3	3	2	3	4	4	3	2	3
"57"	5	3	1	2	3	4	3	4	5	1	4	2	3	4	5	5	1	1	4	5	4	2	5	5	3	2	4	4	3	3	3
"58"	5	3	3	3	2	3	2	2	5	2	2	2	2	4	5	5	1	1	2	5	4	4	5	3	5	3	5	5	5	2	4
"59"	5	5	5	3	2	3	2	5	1	1	1	2	2	1	2	2	3	3	1	5	2	4	5	1	3	2	3	3	5	1	4
"60"	5	4	2	1	2	3	1	3	4	3	5	3	3	4	5	5	1	4	3	5	5	3	3	3	4	3	3	2	3	1	3
"61"	5	2	2	2	2	4	4	4	4	1	3	2	3	3	4	4	2	1	3	5	1	4	4	4	4	5	3	2	4	3	4
"62"	5	3	5	1	2	4	3	4	4	1	2	3	2	3	3	3	4	4	3	5	3	4	5	5	5	3	4	4	2	2	4
"63"	5	3	5	4	5	4	4	5	4	5	4	5	4	5	5	5	4	5	5	5	4	5	5	1	5	5	5	5	5	1	5
"64"	5	4	3	1	3	2	1	2	3	1	2	5	4	3	3	1	3	5	1	5	4	5	3	2	4	5	3	3	4	3	4
"65"	5	3	3	1	1	1	4	4	5	1	3	2	1	2	2	1	3	2	2	5	2	1	5	5	1	3	5	5	2	1	2
"66"	4	3	3	1	2	2	1	3	3	3	2	4	2	2	2	1	2	4	2	5	5	5	5	3	5	5	4	4	3	2	5
"67"	4	3	4	2	2	2	4	5	3	4	3	3	3	3	2	2	4	5	1	4	3	4	5	3	5	5	5	5	4	3	3
"68"	3	4	4	3	2	2	4	5	1	1	1	4	3	4	4	1	5	1	1	5	3	3	5	5	1	2	4	1	2	1	3
"69"	5	5	3	2	1	2	4	3	5	5	5	1	5	4	4	3	2	4	2	5	1	2	5	4	4	2	5	5	2	1	3
"70"	5	4	1	1	1	1	4	5	4	1	1	1	1	1	2	1	4	1	2	5	1	1	5	5	1	1	3	5	1	1	1
"71"	5	3	5	2	2	2	3	5	3	1	1	5	2	3	1	1	2	3	1	5	1	3	5	3	3	3	2	3	2	1	1
"72"	4	3	2	3	1	4	1	4	1	1	1	4	4	1	2	3	1	3	1	4	2	3	5	3	1	3	3	4	3	1	5
"73"	5	3	2	2	2	2	5	5	5	2	4	4	2	2	3	3	5	1	1	5	4	5	5	5	3	3	5	5	4	2	5
"74"	5	3	3	2	2	2	1	5	2	1	2	5	2	2	2	2	4	3	1	5	4	4	5	4	3	5	5	5	3	3	5
"75"	5	3	2	1	4	5	3	2	1	1	1	5	4	1	1	1	1	2	4	5	1	1	5	1	4	5	3	1	4	5	5
"76"	5	3	3	4	4	3	1	1	5	4	4	3	5	4	5	4	4	1	2	4	2	3	5	2	1	4	1	2	4	4	4
"77"	4	4	4	1	1	2	2	2	2	1	2	4	1	1	2	1	1	1	1	4	2	2	5	3	3	3	1	2	3	2	4
"78"	5	3	5	1	2	2	2	5	4	2	1	4	2	2	2	2	5	5	1	5	1	2	5	3	1	1	5	5	5	2	4
"79"	4	4	4	2	4	1	5	5	3	1	1	4	5	5	5	3	5	4	2	5	3	3	5	4	2	3	5	5	5	3	3
"80"	5	3	4	4	4	3	4	5	5	2	2	5	3	3	3	3	4	4	4	5	4	4	5	4	5	5	5	5	5	3	4
"81"	5	3	4	2	2	2	3	4	5	2	3	4	4	3	4	2	5	3	2	5	5	4	5	4	3	4	5	5	4	2	3
"82"	5	4	4	1	2	3	3	5	4	2	3	4	4	3	4	3	5	3	3	5	4	3	5	3	5	3	5	4	4	3	5
"83"	5	5	1	3	1	3	2	1	5	5	4	1	1	2	2	5	1	1	3	5	1	2	3	2	4	3	5	5	5	3	4
"84"	5	3	5	1	2	4	4	5	5	3	1	3	2	4	3	1	5	5	3	5	3	5	5	5	1	1	5	5	5	1	5
"85"	5	3	1	1	4	5	5	1	5	5	5	4	4	5	5	4	3	1	5	5	5	5	4	1	5	5	3	5	5	5	5
"86"	5	2	3	3	5	5	3	3	4	4	1	1	1	2	3	3	2	4	3	5	3	3	5	4	3	5	5	5	3	3	3
"87"	4	3	4	3	3	3	2	4	5	3	3	4	3	3	3	3	2	3	3	5	2	4	4	1	4	4	3	4	4	3	5
"88"	5	4	4	1	2	2	4	4	5	2	4	3	5	3	4	4	5	2	1	5	1	5	5	4	1	5	3	2	4	2	3
"89"	5	5	5	1	1	5	2	5	5	1	1	1	1	5	5	4	5	5	1	5	5	5	5	2	2	1	3	3	4	1	5
"90"	5	3	3	2	1	4	3	3	5	3	3	1	2	4	4	4	2	1	3	5	1	4	4	3	2	3	3	3	3	3	3
"91"	4	2	3	2	1	3	4	3	4	1	3	1	3	1	2	3	1	1	1	4	2	2	5	4	2	2	5	5	3	1	5
"92"	5	5	1	5	1	3	5	3	5	5	5	1	5	1	3	1	1	1	1	5	4	4	5	5	3	1	5	5	1	1	3
"93"	5	2	1	3	4	4	4	2	3	1	2	1	3	5	4	3	3	1	4	5	1	3	3	4	3	2	4	4	5	3	3
"94"	5	4	1	5	5	4	4	4	3	3	3	1	1	5	4	1	1	1	4	4	4	3	3	1	4	3	3	4	3	3	1
"95"	5	5	5	1	1	1	2	4	3	1	3	5	2	1	3	3	1	4	1	5	5	5	5	1	4	2	2	3	3	1	5
"96"	5	3	3	2	2	4	3	3	3	1	2	5	5	4	4	2	3	2	2	5	3	3	5	3	5	5	4	4	3	1	5
"97"	5	3	1	1	1	1	1	2	4	5	4	3	1	1	1	4	1	4	1	2	1	1	5	1	5	5	5	5	1	1	2
"98"	5	3	2	1	1	1	1	2	1	1	1	5	2	2	1	1	1	2	1	5	2	3	5	3	5	5	3	5	5	3	5
"99"	3	5	5	1	1	1	1	3	5	2	1	1	3	2	2	5	5	3	1	3	3	3	2	2	5	5	1	3	5	3	5
"100"	5	3	4	1	1	2	2	4	2	1	3	2	4	1	2	1	4	1	1	3	2	1	5	4	2	1	4	3	5	1	3
"101"	5	4	4	3	2	4	5	4	5	3	2	4	4	3	3	2	3	2	2	5	2	2	5	5	3	2	5	5	3	2	3
"102"	5	3	1	3	2	3	1	2	4	5	4	1	4	3	3	3	1	1	2	4	1	4	5	3	4	5	4	5	5	4	5
"103"	5	3	1	2	3	5	4	1	5	2	5	1	4	5	5	5	2	1	4	5	4	5	5	4	5	4	5	5	5	2	5
"104"	5	5	5	2	2	3	4	5	1	1	1	5	5	4	3	2	5	4	4	5	1	5	5	5	4	4	2	5	5	4	4
"105"	4	4	3	3	2	4	2	2	4	4	3	3	3	4	4	4	3	3	2	4	4	4	4	2	3	5	4	4	5	3	4
"106"	5	5	1	3	1	3	2	2	4	5	1	1	2	3	1	1	1	1	2	4	1	2	4	3	1	4	4	5	5	3	3
"107"	5	3	4	4	5	5	3	4	5	1	2	4	4	4	5	3	5	3	4	5	2	3	5	5	5	5	5	5	4	3	4
"108"	5	3	1	1	1	2	2	2	4	4	1	1	3	4	2	4	2	1	2	3	1	1	4	2	2	3	3	3	2	1	1
"109"	4	3	2	2	1	4	1	2	4	4	3	2	1	1	2	3	2	2	3	5	3	5	5	4	3	2	4	4	3	1	5
"110"	5	2	2	2	4	4	2	3	5	5	3	2	2	2	3	1	3	1	4	5	1	4	4	2	5	5	3	3	4	3	5
"111"	5	4	4	5	2	3	1	4	4	1	1	1	4	5	4	4	4	4	1	4	1	2	5	3	4	5	4	3	4	5	4
"112"	5	3	4	3	2	5	3	3	4	2	2	3	3	4	4	5	2	4	4	4	1	2	4	4	2	2	5	4	4	2	4
"113"	5	3	4	2	2	4	3	3	3	2	2	1	3	4	2	3	5	4	1	5	1	3	4	4	3	1	4	4	4	1	2
"114"	3	4	4	2	3	1	2	4	4	2	1	3	1	1	2	2	2	5	1	4	3	3	5	5	1	1	5	5	5	2	3
"115"	5	3	2	1	1	3	4	4	4	1	3	2	2	2	3	3	1	1	4	5	1	4	4	3	2	2	5	5	3	2	4
"116"	5	4	5	2	2	5	4	5	5	2	2	3	3	3	2	3	5	3	2	5	5	5	5	3	3	3	3	5	3	1	5
"117"	5	3	2	2	2	2	1	3	5	1	2	1	1	2	4	5	2	1	1	4	1	2	5	5	3	3	5	5	3	1	2
"118"	5	3	2	2	1	1	3	5	3	2	1	1	1	1	2	1	4	1	1	4	1	2	4	5	2	2	4	2	4	1	4
"119"	5	3	1	2	2	4	1	3	4	2	4	2	4	4	4	4	2	1	1	5	3	2	3	2	2	3	2	2	3	3	2
"120"	4	2	4	2	1	3	2	4	2	2	1	2	2	2	2	1	2	3	2	3	2	3	4	3	1	2	3	3	2	1	2
"121"	5	5	4	1	2	4	4	2	5	5	2	1	3	5	5	3	4	3	2	3	1	3	5	4	2	5	4	4	5	3	5
"122"	4	3	2	3	4	2	1	4	4	2	2	4	2	2	4	1	1	3	1	4	4	4	4	3	3	4	3	4	1	3	4
"123"	5	3	3	2	2	5	3	1	5	2	4	1	3	4	4	5	3	1	3	4	4	4	3	2	2	2	4	4	5	2	5
"124"	5	3	3	3	3	3	4	3	5	3	1	3	1	5	5	3	3	1	3	3	1	4	4	2	1	1	2	4	5	1	4
"125"	4	4	1	4	2	5	5	3	5	3	3	1	2	4	5	2	3	1	3	4	5	5	5	4	5	5	5	5	5	5	4
"126"	5	3	3	3	2	3	2	2	4	3	3	2	4	5	3	4	3	2	2	5	2	3	5	4	4	3	4	4	3	2	2
"127"	3	5	4	1	1	3	1	4	4	1	4	4	1	1	1	2	1	1	1	3	1	2	4	4	1	1	5	5	3	1	4
"128"	4	3	3	3	4	4	3	4	4	3	3	3	4	3	4	4	2	3	3	5	2	4	4	3	4	4	3	3	4	2	4
"129"	5	5	5	1	5	5	5	5	5	5	1	2	3	1	5	5	5	5	2	5	1	4	3	5	5	5	2	5	2	1	1
"130"	5	4	5	3	1	2	2	4	5	2	2	2	3	4	3	4	3	1	1	5	1	1	4	5	2	2	5	5	5	2	2
"131"	4	2	2	1	1	4	2	2	5	3	3	1	2	2	3	1	3	3	2	5	4	5	4	2	3	4	2	3	4	1	2
"132"	5	4	3	1	1	2	2	4	2	1	2	5	2	1	1	1	1	3	1	5	3	5	2	1	4	3	3	3	3	4	5
"133"	5	4	3	1	1	1	1	4	4	1	5	2	4	3	2	2	2	1	1	5	4	4	5	5	5	4	2	5	4	1	3
"134"	5	3	2	4	1	4	2	1	3	1	1	1	2	5	1	1	3	1	3	5	1	1	2	2	1	4	5	4	5	1	4
"135"	5	3	4	3	3	3	3	3	3	1	1	4	4	4	4	4	4	4	2	5	5	3	5	5	5	3	5	5	5	3	4
"136"	5	3	2	1	3	5	1	3	5	4	4	3	5	4	4	5	1	1	3	4	3	5	5	2	4	5	3	3	5	2	4
"137"	5	3	4	3	2	3	2	4	3	1	1	5	1	1	1	1	1	1	3	5	4	4	5	4	3	5	2	2	4	3	4
"138"	5	3	4	3	3	5	5	5	4	2	2	4	3	5	4	3	4	2	2	2	1	3	4	3	1	2	4	5	3	1	3
"139"	5	3	2	3	3	4	5	2	1	1	1	3	3	4	4	2	3	1	2	5	1	2	5	5	1	3	5	4	4	3	2
"140"	5	4	5	3	2	3	3	5	4	1	2	5	3	4	4	1	2	3	2	5	3	3	5	5	2	1	3	4	1	2	3
"141"	5	4	3	2	1	2	3	4	4	2	2	2	2	5	3	2	4	3	2	5	1	4	5	5	5	5	5	5	5	4	5
"142"	3	4	1	3	1	3	1	3	5	5	4	4	3	1	1	5	5	2	1	3	3	1	5	5	1	1	5	5	5	1	1
"143"	5	4	4	1	3	2	2	4	4	1	1	3	2	1	1	2	3	2	1	4	1	2	4	4	4	1	3	4	1	1	2
"144"	5	4	4	2	1	1	2	4	4	2	3	5	4	1	1	3	3	3	1	5	4	2	4	3	3	1	4	5	4	1	2
"145"	5	2	3	1	2	3	2	4	5	1	3	2	2	2	4	3	4	4	2	5	5	2	5	3	5	5	3	4	5	1	4
"146"	1	4	4	1	1	2	2	2	4	1	1	1	2	1	1	3	2	3	2	4	2	4	4	4	1	2	2	2	4	1	1
"147"	5	3	5	2	1	4	1	5	4	3	4	5	1	1	1	1	2	2	1	5	3	5	5	4	3	4	2	2	5	2	5
"148"	5	4	3	2	3	2	2	3	5	4	3	5	2	2	2	4	2	1	1	5	2	3	3	3	4	3	4	2	4	2	4
"149"	4	3	4	4	4	3	3	5	3	2	3	4	3	2	4	3	3	3	2	4	4	4	5	5	4	3	3	3	4	3	4
"150"	2	3	1	3	1	3	4	1	2	2	2	3	2	1	1	1	1	1	2	3	2	2	4	2	5	5	4	4	4	2	2
"151"	5	2	2	2	3	4	4	3	5	5	3	1	2	4	4	3	1	1	4	5	2	4	4	3	4	2	2	2	3	1	4
"152"	5	4	3	1	1	3	2	2	4	4	4	2	5	4	4	4	2	2	1	5	4	4	5	2	2	2	3	3	2	1	4
"153"	5	3	5	2	2	3	3	4	4	2	1	4	3	3	4	3	2	2	2	5	5	3	5	3	2	5	2	3	5	2	4
"154"	2	5	5	2	2	3	2	4	2	1	2	4	1	4	2	1	3	3	3	3	2	4	5	4	3	3	3	5	4	2	4
"155"	5	3	1	2	4	5	1	1	5	4	4	2	2	3	3	3	2	1	3	4	4	4	5	3	2	5	1	1	5	3	4
"156"	5	4	4	3	3	5	2	3	3	2	3	3	2	4	3	4	2	2	3	4	5	4	3	3	4	2	3	4	3	1	2
"157"	5	4	2	4	3	4	2	3	5	2	5	3	5	2	3	3	2	1	2	5	4	4	4	4	3	3	3	2	3	2	4
"158"	5	5	4	4	4	2	2	4	4	4	4	2	2	2	1	2	1	1	2	5	5	5	3	2	4	5	3	3	3	4	4
"159"	5	3	4	2	1	3	2	5	4	1	3	4	5	4	3	3	2	5	1	5	4	4	5	5	4	1	5	5	2	1	4
"160"	5	3	4	4	3	5	4	4	5	3	3	3	4	3	3	4	3	3	3	5	2	4	4	3	4	4	4	4	3	3	4
"161"	5	3	3	2	1	2	1	1	5	4	5	3	5	4	4	5	1	3	1	5	5	4	5	3	5	5	4	4	4	1	3
"162"	5	3	2	2	2	2	2	4	5	3	3	4	3	2	3	2	2	3	2	5	2	5	5	3	5	2	4	4	3	1	5
"163"	4	2	3	5	4	5	2	4	3	1	1	5	4	3	2	1	5	1	3	4	2	2	5	5	3	5	2	1	5	3	2
"164"	5	5	3	1	1	2	1	4	3	2	1	1	1	1	1	3	1	5	1	4	5	5	3	3	5	3	2	2	4	1	3
"165"	5	4	4	2	1	3	2	4	4	1	3	2	2	4	4	5	2	3	2	5	2	5	3	3	2	1	3	4	3	1	2
"166"	5	4	5	2	4	3	1	4	1	1	1	5	3	3	2	1	5	2	1	5	1	1	5	5	2	5	3	2	4	1	3
"167"	5	5	1	2	1	3	1	1	3	5	2	1	1	1	1	2	2	1	5	4	4	4	5	3	3	2	3	4	3	1	4
"168"	3	3	3	2	2	3	2	3	4	3	4	4	4	3	3	3	3	3	2	3	1	2	5	2	3	1	1	2	5	2	2
"169"	5	4	4	1	2	4	3	4	4	1	3	3	3	3	4	2	1	1	1	5	5	5	5	3	3	3	4	4	4	3	4
"170"	5	3	2	1	2	4	4	3	5	4	3	1	1	3	3	4	1	1	1	5	3	2	2	1	2	4	3	5	3	2	3
"171"	4	3	2	3	2	2	1	3	4	2	2	2	3	5	4	5	4	1	1	3	1	2	5	2	3	5	4	5	4	1	3
"172"	5	4	3	1	2	4	3	4	4	1	1	4	3	3	3	2	1	1	1	5	5	5	5	3	3	4	3	4	3	2	4
"173"	5	3	2	3	3	4	4	2	5	5	5	2	4	4	4	4	2	1	3	3	3	3	4	2	5	4	3	4	5	3	3
"174"	5	3	2	1	2	4	4	3	2	1	1	2	1	2	3	2	1	5	4	5	4	3	5	4	5	3	3	4	5	3	4
"175"	5	2	1	5	3	3	3	1	1	1	1	1	1	1	1	1	3	1	5	5	1	5	5	5	5	5	5	1	5	3	5
"176"	5	3	1	1	1	5	3	3	5	5	2	3	4	4	4	2	4	2	1	4	2	4	5	5	1	1	4	5	2	1	2
"177"	5	3	3	2	1	1	1	3	5	5	3	2	4	3	5	4	1	2	1	5	3	2	4	3	4	3	3	4	3	2	4
"178"	5	3	1	4	2	4	3	1	5	5	3	1	3	3	3	5	2	1	3	5	3	4	5	5	4	3	4	4	5	3	4
"179"	4	3	1	3	3	5	2	2	4	4	3	1	2	2	4	3	2	1	4	3	3	3	3	2	2	2	5	5	4	3	3
"180"	4	3	1	2	2	5	2	1	1	2	1	1	1	4	1	1	1	4	5	4	4	4	4	2	4	5	4	5	5	2	4
"181"	4	4	2	1	1	3	3	2	5	4	5	2	2	1	4	4	1	1	1	4	5	5	5	1	5	1	1	1	4	1	3
"182"	5	3	4	3	3	4	3	3	4	3	3	4	4	5	3	3	5	3	3	4	2	3	4	2	2	3	3	3	3	3	3
"183"	5	3	4	3	2	4	4	4	5	4	3	2	4	3	2	3	4	1	5	5	1	4	5	4	3	1	5	5	4	2	4
"184"	5	3	3	2	1	2	5	4	3	1	1	5	4	4	3	4	3	4	3	5	3	4	4	2	2	5	4	3	5	3	5
"185"	5	4	2	2	2	3	4	2	5	1	2	1	1	4	5	5	1	1	2	5	3	3	5	2	3	1	3	3	3	2	1
"186"	3	3	3	1	1	2	5	3	2	1	1	4	3	3	4	1	5	3	1	5	1	2	5	5	3	3	5	5	3	2	3
"187"	4	2	2	4	2	3	3	4	2	1	1	1	1	3	2	2	3	2	4	4	1	2	5	5	2	2	4	1	5	2	2
"188"	5	3	1	2	2	2	1	4	3	2	2	1	1	2	1	5	1	5	1	4	2	4	4	1	2	2	2	2	2	1	3
"189"	3	3	3	3	2	5	4	3	3	1	1	3	2	2	2	2	2	1	4	2	2	2	2	2	2	5	5	5	5	3	3
"190"	5	3	1	3	2	5	3	1	4	5	4	1	1	1	3	2	1	1	4	5	5	5	4	4	4	5	3	3	4	5	4
"191"	4	4	2	2	2	4	2	2	4	5	3	2	3	2	3	3	2	2	3	4	3	5	4	4	3	3	4	4	4	2	2
"192"	5	3	2	5	2	4	5	5	2	1	1	1	3	4	3	4	3	1	4	4	1	2	4	5	1	1	5	5	4	1	1
"193"	5	1	4	1	2	3	3	5	4	1	3	5	2	1	3	2	3	4	1	5	3	3	5	4	3	2	5	5	4	1	2
"194"	5	3	1	4	3	5	3	1	5	5	4	1	3	3	5	5	1	1	3	5	3	4	5	5	4	3	3	4	5	1	4
"195"	5	4	1	2	1	3	2	2	4	2	4	2	3	1	5	5	1	1	1	5	3	5	4	2	4	4	3	3	2	2	3
"196"	5	3	2	2	2	3	2	2	3	1	1	5	3	3	3	3	2	1	2	4	5	5	5	4	3	3	3	2	3	2	4
"197"	5	3	2	2	2	2	3	4	4	3	3	4	4	3	3	3	3	3	3	5	1	2	5	5	4	3	5	5	4	3	3
"198"	5	3	3	2	3	1	4	2	2	1	1	3	2	2	1	1	3	1	1	5	4	4	5	5	1	3	3	2	1	1	1
"199"	5	3	3	4	2	2	2	3	5	3	5	5	4	2	5	2	2	2	2	3	5	3	3	2	3	5	5	5	3	2	3
"200"	5	4	4	1	1	1	1	2	3	1	1	4	2	1	1	1	2	4	1	4	1	4	5	2	3	3	3	3	4	2	4
"201"	4	3	3	1	2	4	3	4	4	4	3	5	4	3	4	2	2	2	1	5	4	4	5	5	5	5	4	4	5	4	3
"202"	5	3	2	4	3	3	3	5	5	2	3	5	5	1	5	5	3	2	1	5	3	3	5	5	4	4	5	4	5	2	5
"203"	5	3	5	1	1	1	1	3	2	1	1	5	3	1	1	1	1	4	1	5	5	3	5	2	5	5	4	4	2	3	5
"204"	5	3	4	2	2	3	1	4	5	3	3	3	3	2	2	2	4	3	3	5	3	3	5	5	3	3	5	5	2	2	4
