"id"	"Age"	"Gender"	"Only.child"	"Education"
"53"	21	"female"	"no"	"secondary school"
"54"	18	"female"	"no"	"secondary school"
"55"	21	"female"	"no"	"college/bachelor degree"
"56"	23	"female"	"no"	"college/bachelor degree"
"57"	20	"female"	""	"secondary school"
"58"	21	"female"	"no"	"secondary school"
"59"	19	"male"	"no"	"secondary school"
"60"	22	"male"	"no"	"college/bachelor degree"
"61"	23	"male"	"no"	"college/bachelor degree"
"62"	23	"male"	"no"	"secondary school"
"63"	23	"male"	"no"	"secondary school"
"64"	22	"male"	"no"	"college/bachelor degree"
"65"	18	"female"	"yes"	"primary school"
"66"	17	"male"	"yes"	"primary school"
"67"	20	"male"	"no"	"secondary school"
"68"	24	"female"	"yes"	"college/bachelor degree"
"69"	18	"female"	"no"	"college/bachelor degree"
"70"	20	"female"	"no"	"secondary school"
"71"	17	"male"	"yes"	"secondary school"
"72"	20	"male"	"yes"	"secondary school"
"73"	28	"female"	"no"	"secondary school"
"74"	21	"male"	"yes"	"secondary school"
"75"	22	"male"	"no"	"masters degree"
"76"	20	"male"	"no"	"secondary school"
"77"	18	"male"	"no"	"secondary school"
"78"	21	"female"	"no"	"secondary school"
"79"	24	"female"	"no"	"college/bachelor degree"
"80"	21	"female"	"no"	"secondary school"
"81"	19	"female"	"no"	"secondary school"
"82"	22	"male"	"no"	"secondary school"
"83"	18	"female"	"no"	"secondary school"
"84"	22	"female"	"no"	"secondary school"
"85"	19	"female"	"yes"	"secondary school"
"86"	22	"male"	"no"	"college/bachelor degree"
"87"	24	"male"	"no"	"masters degree"
"88"	18	"female"	"no"	"college/bachelor degree"
"89"	21	"female"	"yes"	"secondary school"
"90"	22	"female"	"no"	"masters degree"
"91"	19	"female"	"no"	"secondary school"
"92"	18	"female"	"no"	"secondary school"
"93"	19	"female"	"yes"	"college/bachelor degree"
"94"	24	"male"	"no"	"masters degree"
"95"	21	"male"	"no"	"secondary school"
"96"	21	"male"	"no"	"college/bachelor degree"
"97"	19	"male"	"no"	"college/bachelor degree"
"98"	19	"male"	"no"	"primary school"
"99"	22	"male"	"no"	"secondary school"
"100"	18	"female"	"no"	"secondary school"
"101"	21	"female"	"no"	"secondary school"
"102"	18	"male"	"no"	"secondary school"
"103"	20	"female"	"yes"	"secondary school"
"104"	22	"male"	"yes"	"secondary school"
"105"	21	"male"	"no"	"secondary school"
"106"	24	"male"	"no"	"college/bachelor degree"
"107"	19	"male"	"no"	"secondary school"
"108"	18	"female"	"no"	"secondary school"
"109"	17	"female"	"no"	"primary school"
"110"	18	"male"	"yes"	"secondary school"
"111"	21	"male"	"no"	"college/bachelor degree"
"112"	22	"female"	"no"	"college/bachelor degree"
"113"	20	"female"	"no"	"secondary school"
"114"	21	"female"	"no"	"college/bachelor degree"
"115"	19	"female"	"no"	"secondary school"
"116"	17	"female"	"yes"	"secondary school"
"117"	21	"female"	"no"	"college/bachelor degree"
"118"	18	"female"	"no"	"secondary school"
"119"	23	"male"	"no"	"college/bachelor degree"
"120"	16	"female"	"no"	"secondary school"
"121"	23	"male"	"yes"	"college/bachelor degree"
"122"	21	"male"	"no"	"secondary school"
"123"	23	"female"	"yes"	"masters degree"
"124"	20	"female"	"yes"	"secondary school"
"125"	20	"male"	"no"	"secondary school"
"126"	20	"female"	"no"	"secondary school"
"127"	20	"female"	"no"	"secondary school"
"128"	19	"female"	"no"	"primary school"
"129"	15	"female"	"no"	"primary school"
"130"	20	"female"	"no"	"secondary school"
"131"	19	"female"	"no"	"secondary school"
"132"	18	"male"	"yes"	"primary school"
"133"	15	"female"	"no"	"primary school"
"134"	20	"female"	"no"	"college/bachelor degree"
"135"	16	"female"	"yes"	"secondary school"
"136"	18	"male"	"no"	"secondary school"
"137"	21	"male"	"no"	"secondary school"
"138"	20	""	"yes"	"primary school"
"139"	20	"female"	"no"	"secondary school"
"140"	19	"female"	"no"	"college/bachelor degree"
"141"	19	"female"	"no"	"college/bachelor degree"
"142"	19	"female"	"yes"	"primary school"
"143"	20	"male"	"no"	"primary school"
"144"	20	"female"	"no"	"secondary school"
"145"	21	"male"	"no"	"secondary school"
"146"	19	"female"	"no"	"secondary school"
"147"	21	"male"	"no"	"secondary school"
"148"	18	"male"	"no"	"secondary school"
"149"	20	"male"	"no"	"secondary school"
"150"	19	"male"	"no"	"college/bachelor degree"
"151"	22	"female"	"no"	"secondary school"
"152"	20	"male"	"no"	"secondary school"
"153"	25	"male"	"no"	"college/bachelor degree"
"154"	21	"female"	"yes"	"college/bachelor degree"
"155"	24	"male"	"no"	"college/bachelor degree"
"156"	19	"female"	"no"	"secondary school"
"157"	25	"male"	"yes"	"doctorate degree"
"158"	26	"male"	"no"	"masters degree"
"159"	15	"female"	"no"	"currently a primary school pupil"
"160"	20	"male"	"no"	"secondary school"
"161"	19	"male"	"no"	"secondary school"
"162"	20	"female"	"yes"	"secondary school"
"163"	21	"male"	"yes"	"college/bachelor degree"
"164"	22	"male"	"no"	"secondary school"
"165"	20	"male"	"no"	"secondary school"
"166"	20	"female"	"yes"	"college/bachelor degree"
"167"	21	"female"	"no"	"secondary school"
"168"	21	"male"	"no"	"primary school"
"169"	20	"female"	"yes"	"secondary school"
"170"	19	"female"	"yes"	"secondary school"
"171"	19	"male"	"no"	"secondary school"
"172"	20	"male"	"yes"	"secondary school"
"173"	22	"male"	"no"	"secondary school"
"174"	21	"male"	"no"	"secondary school"
"175"	26	"male"	"yes"	"secondary school"
"176"	17	"female"	"yes"	"primary school"
"177"	22	"male"	"yes"	"college/bachelor degree"
"178"	26	"male"	"no"	"masters degree"
"179"	20	"female"	"no"	"masters degree"
"180"	22	"male"	"no"	"secondary school"
"181"	21	"male"	"yes"	"secondary school"
"182"	23	"male"	"yes"	"secondary school"
"183"	19	"female"	"yes"	"secondary school"
"184"	20	"male"	"no"	"college/bachelor degree"
"185"	21	"female"	"yes"	"college/bachelor degree"
"186"	19	"female"	"no"	"secondary school"
"187"	29	"female"	"no"	"masters degree"
"188"	22	"female"	"no"	"college/bachelor degree"
"189"	19	"female"	"no"	"college/bachelor degree"
"190"	17	"female"	"no"	"primary school"
"191"	16	"female"	"no"	"primary school"
"192"	29	"female"	"no"	"masters degree"
"193"	18	"female"	"no"	"secondary school"
"194"	26	"male"	"no"	"masters degree"
"195"	19	"male"	"no"	"secondary school"
"196"	19	"male"	"yes"	"secondary school"
"197"	20	"female"	"yes"	"secondary school"
"198"	22	"female"	"yes"	"college/bachelor degree"
"199"	20	"male"	"no"	"secondary school"
"200"	21	"male"	"no"	"secondary school"
"201"	21	"male"	"no"	"secondary school"
"202"	18	""	"yes"	"secondary school"
"203"	15	"male"	"yes"	"primary school"
"204"	19	"female"	"no"	"college/bachelor degree"
"205"	24	"female"	"no"	"college/bachelor degree"
"206"	19	"female"	"yes"	"secondary school"
"207"	25	"male"	"no"	"college/bachelor degree"
"208"	20	"female"	"no"	"college/bachelor degree"
"209"	19	"female"	"no"	"secondary school"
"210"	21	"male"	"no"	"secondary school"
"211"	23	"male"	"no"	"secondary school"
"212"	21	"female"	"no"	"secondary school"
"213"	20	"male"	"no"	"secondary school"
"214"	20	"female"	"no"	"secondary school"
"215"	18	"female"	"no"	"primary school"
"216"	27	"male"	"no"	"secondary school"
"217"	17	"female"	"yes"	"secondary school"
"218"	19	"female"	"no"	"primary school"
"219"	18	"male"	"no"	"primary school"
"220"	26	"male"	"no"	"secondary school"
"221"	18	"male"	"no"	"secondary school"
"222"	30	"male"	"no"	"masters degree"
"223"	24	"female"	"no"	"secondary school"
"224"	20	"female"	"yes"	"secondary school"
"225"	20	"male"	"no"	"secondary school"
"226"	20	"male"	"no"	"secondary school"
"227"	25	""	"no"	"secondary school"
"228"	19	"female"	"no"	"secondary school"
"229"	20	"female"	"no"	"secondary school"
"230"	21	"male"	"no"	"secondary school"
"231"	19	"female"	"no"	"secondary school"
"232"	19	"female"	"yes"	"secondary school"
"233"	19	"female"	"no"	"secondary school"
"234"	18	"female"	"no"	"primary school"
"235"	18	"female"	"no"	"college/bachelor degree"
"236"	16	"female"	"yes"	"secondary school"
"237"	19	"female"	"yes"	"secondary school"
"238"	18	"female"	"no"	"secondary school"
"239"	19	"female"	"no"	"primary school"
"240"	21	"female"	"yes"	"secondary school"
"241"	21	"male"	"no"	"college/bachelor degree"
"242"	18	"female"	"yes"	"secondary school"
"243"	21	"female"	"yes"	"secondary school"
"244"	17	"female"	"yes"	"secondary school"
"245"	20	"female"	"yes"	"secondary school"
"246"	19	"female"	"no"	"primary school"
"247"	27	"male"	"yes"	"masters degree"
"248"	22	"female"	"yes"	"college/bachelor degree"
"249"	19	"female"	"no"	"secondary school"
"250"	19	"female"	"no"	"secondary school"
"251"	20	"female"	"yes"	"secondary school"
"252"	19	"female"	"no"	"secondary school"
"253"	20	"female"	"yes"	"secondary school"
"254"	17	"female"	"yes"	"primary school"
"255"	23	"female"	"no"	"secondary school"
"256"	20	"female"	"no"	"secondary school"
"257"	20	"female"	"no"	"secondary school"
"258"	19	"male"	"no"	"secondary school"
"259"	20	"female"	"yes"	"secondary school"
"260"	19	"male"	"no"	"secondary school"
"261"	19	"male"	"yes"	"secondary school"
"262"	18	"female"	"no"	"secondary school"
"263"	19	"female"	"no"	"secondary school"
"264"	15	"female"	"no"	"secondary school"
"265"	19	"female"	"no"	"college/bachelor degree"
"266"	15	"female"	"no"	"secondary school"
"267"	19	"female"	"no"	"secondary school"
"268"	21	"female"	"no"	"masters degree"
"269"	19	"female"	"no"	"college/bachelor degree"
"270"	17	"female"	"no"	"secondary school"
"271"	23	"female"	"no"	"college/bachelor degree"
"272"	24	"male"	"yes"	"secondary school"
"273"	19	"female"	"no"	"secondary school"
"274"	19	"female"	"no"	"college/bachelor degree"
"275"	22	"female"	"yes"	"secondary school"
"276"	20	"female"	"no"	"college/bachelor degree"
"277"	21	"female"	"no"	"college/bachelor degree"
"278"	19	"male"	"yes"	"secondary school"
"279"	19	"male"	"no"	"secondary school"
"280"	20	"female"	"no"	"college/bachelor degree"
"281"	18	"female"	"no"	"secondary school"
"282"	19	"male"	"no"	"secondary school"
"283"	20	"female"	"no"	"secondary school"
"284"	22	"male"	"no"	"secondary school"
"285"	20	"male"	"no"	"secondary school"
"286"	20	"female"	"no"	"secondary school"
"287"	27	"female"	"no"	"masters degree"
"288"	19	"female"	"yes"	"secondary school"
"289"	22	"male"	"no"	"secondary school"
"290"	19	"male"	"yes"	"college/bachelor degree"
"291"	20	"female"	"no"	"secondary school"
"292"	20	"male"	"no"	"secondary school"
"293"	21	"female"	"no"	"secondary school"
"294"	16	"female"	"yes"	"primary school"
"295"	19	"female"	"no"	"secondary school"
"296"	18	"female"	"no"	"secondary school"
"297"	23	"male"	"no"	"college/bachelor degree"
"298"	19	"male"	"yes"	"secondary school"
"299"	19	"female"	"no"	"secondary school"
"300"	22	"female"	"no"	"college/bachelor degree"
"301"	18	"female"	"no"	"secondary school"
"302"	20	"male"	"no"	"college/bachelor degree"
"303"	19	"female"	"no"	"secondary school"
"304"	25	"female"	"no"	"masters degree"
"305"	18	"female"	"yes"	"secondary school"
"306"	20	"female"	"yes"	"college/bachelor degree"
"307"	15	"female"	"no"	"primary school"
"308"	19	"female"	"no"	"secondary school"
"309"	19	"female"	"yes"	"secondary school"
"310"	16	"female"	"yes"	"secondary school"
"311"	19	"male"	"no"	"college/bachelor degree"
"312"	18	"female"	"yes"	"college/bachelor degree"
"313"	15	"male"	"no"	"primary school"
"314"	20	"female"	"no"	"secondary school"
"315"	20	"male"	"no"	"secondary school"
"316"	20	"male"	"no"	"secondary school"
"317"	20	"female"	"yes"	"secondary school"
"318"	19	"male"	"no"	"secondary school"
"319"	16	"female"	"yes"	"currently a primary school pupil"
"320"	18	"female"	"no"	"secondary school"
"321"	20	"male"	"no"	"secondary school"
"322"	16	"female"	"yes"	"college/bachelor degree"
"323"	18	"female"	"no"	"primary school"
"324"	20	"male"	"no"	"secondary school"
"325"	18	"female"	"no"	"primary school"
"326"	19	"male"	"no"	"secondary school"
"327"	19	"female"	"yes"	"college/bachelor degree"
"328"	20	"female"	"no"	"secondary school"
"329"	18	"male"	"yes"	"college/bachelor degree"
"330"	17	"female"	"no"	"primary school"
"331"	22	"female"	"yes"	"secondary school"
"332"	17	"male"	"yes"	"secondary school"
"333"	22	"female"	"no"	"secondary school"
"334"	16	"female"	"yes"	"secondary school"
"335"	24	"female"	"no"	"masters degree"
"336"	17	"male"	"no"	"primary school"
"337"	17	"male"	"no"	"secondary school"
"338"	17	"male"	"no"	"secondary school"
"339"	15	"female"	"no"	"secondary school"
"340"	18	"female"	"no"	"primary school"
"341"	18	"female"	"no"	"primary school"
"342"	16	"male"	"no"	"primary school"
"343"	20	"female"	"yes"	"secondary school"
"344"	29	"female"	"no"	"masters degree"
"345"	24	"female"	"no"	"college/bachelor degree"
"346"	18	"female"	"yes"	"secondary school"
"347"	17	"male"	"yes"	"primary school"
"348"	18	"male"	"no"	"primary school"
"349"	16	"male"	"no"	"secondary school"
"350"	17	"female"	"no"	"primary school"
"351"	20	"male"	"no"	"college/bachelor degree"
"352"	16	"female"	"no"	"primary school"
"353"	19	"male"	"no"	"secondary school"
"354"	18	"female"	"no"	"secondary school"
"355"	20	"female"	"no"	"secondary school"
"356"	19	"male"	"no"	"secondary school"
"357"	18	"male"	"no"	"secondary school"
"358"	21	"male"	"yes"	"secondary school"
"359"	19	"male"	"no"	"college/bachelor degree"
"360"	20	"female"	"no"	"secondary school"
"361"	23	"female"	"no"	"college/bachelor degree"
"362"	19	"female"	"no"	"college/bachelor degree"
"363"	19	"female"	"no"	"college/bachelor degree"
"364"	19	"female"	"no"	"college/bachelor degree"
"365"	20	"male"	"no"	"college/bachelor degree"
"366"	24	"male"	"no"	"college/bachelor degree"
"367"	19	"male"	"no"	"college/bachelor degree"
"368"	20	"male"	"no"	"secondary school"
"369"	18	"female"	"no"	"primary school"
"370"	17	"male"	"no"	"primary school"
"371"	19	"female"	"no"	"secondary school"
"372"	19	"female"	"no"	"secondary school"
"373"	20	"male"	"no"	"secondary school"
"374"	20	"male"	"yes"	"college/bachelor degree"
"375"	21	"female"	"no"	"secondary school"
"376"	20	"female"	"no"	"secondary school"
"377"	20	"female"	"no"	"secondary school"
"378"	17	"female"	"yes"	"secondary school"
"379"	20	"female"	"no"	"secondary school"
"380"	25	"male"	"no"	"masters degree"
"381"	20	"female"	"no"	"secondary school"
"382"	21	"female"	"no"	"secondary school"
"383"	21	"female"	"yes"	"secondary school"
"384"	22	"male"	"no"	"college/bachelor degree"
"385"	19	"female"	"no"	"secondary school"
"386"	25	"male"	"no"	"college/bachelor degree"
"387"	19	"female"	"yes"	"secondary school"
"388"	25	"female"	"no"	"masters degree"
"389"	25	"female"	"no"	"masters degree"
"390"	21	"female"	"yes"	"secondary school"
"391"	20	"male"	"no"	"secondary school"
"392"	24	"female"	"no"	"masters degree"
"393"	30	"female"	"no"	"masters degree"
"394"	21	"male"	"no"	"secondary school"
"395"	27	"male"	"no"	"masters degree"
"396"	21	"male"	"no"	"college/bachelor degree"
"397"	16	"female"	"yes"	"primary school"
"398"	21	"female"	"no"	"college/bachelor degree"
"399"	20	"female"	"no"	"college/bachelor degree"
"400"	22	"female"	"no"	"secondary school"
"401"	19	"male"	"no"	"secondary school"
"402"	20	"female"	"no"	"secondary school"
"403"	25	"male"	"no"	"masters degree"
"404"	23	"male"	"no"	"secondary school"
"405"	20	"female"	"no"	"college/bachelor degree"
"406"	20	"female"	"no"	"secondary school"
"407"	21	"female"	"no"	"secondary school"
"408"	19	"female"	"no"	"secondary school"
"409"	21	"female"	"no"	"college/bachelor degree"
"410"	16	"female"	"yes"	"currently a primary school pupil"
"411"	20	"male"	"no"	"secondary school"
"412"	18	"female"	"yes"	"secondary school"
"413"	21	"female"	"no"	"secondary school"
"414"	21	"male"	"no"	"secondary school"
"415"	18	"male"	"no"	"college/bachelor degree"
"416"	19	"female"	"no"	"secondary school"
"417"	20	"female"	"no"	"secondary school"
"418"	18	"male"	"no"	"secondary school"
"419"	18	"female"	"no"	"primary school"
"420"	23	"female"	"yes"	"secondary school"
"421"	20	"female"	"no"	"secondary school"
"422"	18	"female"	"no"	"secondary school"
"423"	28	"female"	"no"	"college/bachelor degree"
"424"	24	"female"	"no"	"masters degree"
"425"	19	"female"	"yes"	"secondary school"
"426"	21	"female"	"no"	"secondary school"
"427"	22	"female"	"no"	"masters degree"
"428"	19	"male"	"no"	"secondary school"
"429"	18	"female"	"no"	"primary school"
"430"	21	"female"	"yes"	"secondary school"
"431"	19	"female"	"no"	"masters degree"
"432"	19	"male"	"no"	"secondary school"
"433"	20	"male"	"no"	"secondary school"
"434"	19	"female"	"no"	"secondary school"
"435"	18	"male"	"no"	"secondary school"
"436"	18	"female"	"no"	"secondary school"
"437"	19	"male"	"no"	"secondary school"
"438"	18	"female"	"yes"	"secondary school"
"439"	18	"female"	"no"	"secondary school"
"440"	19	"male"	"no"	"secondary school"
"441"	19	"female"	"no"	"secondary school"
"442"	19	"female"	"no"	"college/bachelor degree"
"443"	18	"female"	"no"	"secondary school"
"444"	18	"female"	"no"	"secondary school"
"445"	19	"female"	"no"	"secondary school"
"446"	20	"female"	"yes"	"secondary school"
"447"	19	"male"	"no"	"secondary school"
"448"	26	"female"	"no"	"masters degree"
"449"	19	"female"	"no"	"secondary school"
"450"	19	"female"	"yes"	"secondary school"
"451"	22	"male"	"no"	"college/bachelor degree"
"452"	20	"male"	"no"	"college/bachelor degree"
"453"	28	"female"	"no"	"masters degree"
"454"	19	"female"	"yes"	"secondary school"
"455"	21	"female"	"yes"	"secondary school"
"456"	19	"female"	"no"	"secondary school"
"457"	22	"male"	"no"	"secondary school"
"458"	19	"male"	"no"	"secondary school"
"459"	18	"female"	"no"	"secondary school"
"460"	19	"female"	"yes"	"secondary school"
"461"	22	"male"	"no"	"secondary school"
"462"	29	"male"	"yes"	"masters degree"
"463"	20	"female"	"no"	"college/bachelor degree"
"464"	18	"female"	"yes"	"secondary school"
"465"	22	"female"	"no"	"secondary school"
"466"	17	"female"	"no"	"secondary school"
"467"	19	"male"	"yes"	"college/bachelor degree"
"468"	20	"female"	"no"	"secondary school"
"469"	18	"female"	"yes"	"secondary school"
"470"	22	"male"	"yes"	"secondary school"
"471"	19	"female"	"no"	"secondary school"
"472"	20	"male"	"no"	"secondary school"
"473"	25	"male"	"no"	"masters degree"
"474"	29	"male"	"yes"	"masters degree"
"475"	19	"male"	"no"	"secondary school"
"476"	18	"female"	"no"	"secondary school"
"477"	20	"female"	"no"	"secondary school"
"478"	18	"female"	"no"	"secondary school"
"479"	30	"male"	"no"	"masters degree"
"480"	20	"female"	"no"	"secondary school"
"481"	21	"female"	"no"	"secondary school"
"482"	22	"male"	"no"	"college/bachelor degree"
"483"	22	"male"	"no"	"secondary school"
"484"	20	"female"	"yes"	"college/bachelor degree"
"485"	20	"female"	"no"	"secondary school"
"486"	19	"female"	"no"	"secondary school"
"487"	28	"female"	"no"	"masters degree"
"488"	19	"female"	"no"	"secondary school"
"489"	22	"male"	"no"	"secondary school"
"490"	20	"female"	"yes"	"college/bachelor degree"
"491"	16	"female"	"no"	"primary school"
"492"	19	"female"	"no"	"secondary school"
"493"	20	"female"	"no"	"secondary school"
"494"	21	"male"	"no"	"college/bachelor degree"
"495"	19	"female"	"no"	"secondary school"
"496"	20	"female"	"no"	"secondary school"
"497"	25	"female"	"no"	"college/bachelor degree"
"498"	20	"female"	"no"	"secondary school"
"499"	19	"female"	"no"	"secondary school"
"500"	22	"male"	"no"	"secondary school"
"501"	19	"female"	"no"	"secondary school"
"502"	21	"female"	"no"	"secondary school"
"503"	22	"male"	"no"	"masters degree"
"504"	28	"female"	"no"	"masters degree"
"505"	21	"female"	"no"	"college/bachelor degree"
"506"	20	"male"	"no"	"secondary school"
"507"	19	"male"	"no"	"secondary school"
"508"	21	"female"	"no"	"college/bachelor degree"
"509"	20	"male"	"yes"	"secondary school"
"510"	16	"female"	"yes"	"secondary school"
"511"	22	"male"	"yes"	"college/bachelor degree"
"512"	19	"male"	"no"	"secondary school"
"513"	22	"female"	"yes"	"college/bachelor degree"
"514"	20	"male"	"yes"	"secondary school"
"515"	22	"male"	"yes"	"college/bachelor degree"
"516"	19	"male"	"no"	"secondary school"
"517"	22	"male"	"no"	"secondary school"
"518"	17	"female"	"no"	"secondary school"
"519"	18	"female"	"no"	"secondary school"
"520"	19	"male"	"no"	"primary school"
"521"	23	"female"	"no"	"masters degree"
"522"	20	"female"	"yes"	"secondary school"
"523"	18	"female"	"no"	"secondary school"
"524"	19	"male"	"no"	"college/bachelor degree"
"525"	19	"female"	"no"	"secondary school"
"526"	28	"female"	"no"	"masters degree"
"527"	21	"male"	"no"	"college/bachelor degree"
"528"	23	"female"	"yes"	"masters degree"
"529"	20	"male"	"no"	"secondary school"
"530"	20	"male"	"no"	"secondary school"
"531"	28	"female"	"no"	"secondary school"
"532"	22	"male"	"no"	"secondary school"
"533"	19	"female"	"yes"	"secondary school"
"534"	21	"male"	"no"	"college/bachelor degree"
"535"	21	"female"	"no"	"secondary school"
"536"	17	"male"	"no"	"secondary school"
"537"	19	"female"	"no"	"college/bachelor degree"
"538"	25	"male"	"no"	"masters degree"
"539"	20	"female"	"no"	"secondary school"
"540"	26	"male"	"no"	"college/bachelor degree"
"541"	21	"male"	"yes"	"secondary school"
"542"	20	"female"	"no"	"secondary school"
"543"	29	""	"no"	"masters degree"
"544"	25	"male"	"no"	"masters degree"
"545"	21	"male"	"yes"	"masters degree"
"546"	20	"male"	"no"	"secondary school"
"547"	27	"male"	"no"	"masters degree"
"548"	21	"male"	"no"	"secondary school"
"549"	20	"female"	"no"	"secondary school"
"550"	20	"female"	"no"	"college/bachelor degree"
"551"	17	"female"	"yes"	"primary school"
"552"	16	"female"	"no"	"secondary school"
"553"	19	"female"	"no"	"secondary school"
"554"	18	"female"	"yes"	"secondary school"
"555"	19	"male"	"yes"	"college/bachelor degree"
"556"	21	"female"	"yes"	"college/bachelor degree"
"557"	16	"female"	"yes"	"secondary school"
"558"	20	"female"	"no"	"college/bachelor degree"
"559"	19	"female"	"no"	"primary school"
"560"	20	"female"	"yes"	"secondary school"
"561"	16	"female"	"yes"	"currently a primary school pupil"
"562"	20	"male"	"no"	"secondary school"
"563"	18	"male"	"yes"	"currently a primary school pupil"
"564"	20	"male"	"no"	"secondary school"
"565"	20	"male"	"no"	"college/bachelor degree"
"566"	16	"female"	"no"	"primary school"
"567"	19	"female"	"no"	"secondary school"
"568"	19	"male"	"no"	"secondary school"
"569"	23	"female"	"no"	"college/bachelor degree"
"570"	20	"female"	"no"	"college/bachelor degree"
"571"	23	"male"	"no"	"secondary school"
"572"	19	"male"	"yes"	"currently a primary school pupil"
"573"	22	"female"	"no"	"college/bachelor degree"
"574"	17	"male"	"no"	"primary school"
"575"	20	"female"	"no"	"secondary school"
"576"	21	"female"	"no"	"secondary school"
"577"	21	"male"	"no"	"secondary school"
"578"	19	"female"	"no"	"secondary school"
"579"	20	"female"	"yes"	"secondary school"
"580"	19	"male"	"yes"	"college/bachelor degree"
"581"	21	"male"	"yes"	"secondary school"
"582"	22	"female"	"no"	"secondary school"
"583"	22	"male"	"no"	"college/bachelor degree"
"584"	22	"male"	"no"	"college/bachelor degree"
"585"	28	"female"	"no"	"masters degree"
"586"	21	"male"	"no"	"secondary school"
"587"	21	"male"	"no"	"college/bachelor degree"
"588"	17	"female"	"no"	"primary school"
"589"	21	"female"	"yes"	"secondary school"
"590"	17	"female"	"no"	"primary school"
"591"	28	"male"	"no"	"masters degree"
"592"	20	"female"	"no"	"college/bachelor degree"
"593"	19	"female"	"yes"	"secondary school"
"594"	21	"female"	"no"	"secondary school"
"595"	23	"male"	"no"	"college/bachelor degree"
"596"	17	"male"	"yes"	"primary school"
"597"	20	"male"	""	"primary school"
"598"	19	"male"	"no"	"secondary school"
"599"	19	"male"	"no"	"secondary school"
"600"	19	"male"	"no"	"secondary school"
"601"	18	"female"	"yes"	"secondary school"
"602"	19	"female"	"no"	"secondary school"
"603"	22	"male"	"no"	"secondary school"
"604"	21	"female"	"no"	"secondary school"
"605"	21	"female"	"no"	"secondary school"
"606"	21	"male"	"no"	"college/bachelor degree"
"607"	22	"male"	"no"	"secondary school"
"608"	19	"female"	"no"	"secondary school"
"609"	25	"male"	"no"	"secondary school"
"610"	18	"male"	"no"	"currently a primary school pupil"
"611"	20	"male"	"no"	"secondary school"
"612"	18	"female"	"yes"	"secondary school"
"613"	23	"male"	"no"	"secondary school"
"614"	18	"female"	"no"	"secondary school"
"615"	22	"female"	"no"	"secondary school"
"616"	20	"male"	"yes"	"secondary school"
"617"	19	"male"	"yes"	"secondary school"
"618"	19	"female"	"no"	"secondary school"
"619"	23	"female"	"yes"	"college/bachelor degree"
"620"	27	"male"	"no"	"secondary school"
"621"	20	"male"	"no"	"secondary school"
"622"	20	""	"no"	"secondary school"
"623"	18	"female"	"no"	"primary school"
"624"	21	"male"	"no"	"secondary school"
"625"	21	"female"	"no"	"secondary school"
"626"	19	"female"	"yes"	"secondary school"
"627"	22	"female"	"no"	"secondary school"
"628"	20	"female"	"no"	"college/bachelor degree"
"629"	19	"male"	"yes"	"secondary school"
"630"	20	"female"	"yes"	"college/bachelor degree"
"631"	19	"female"	"no"	"secondary school"
"632"	18	"female"	"no"	"secondary school"
"633"	17	"male"	"no"	"primary school"
