id	History	Psychology	Politics	Mathematics	Physics	Internet	PC	Economy.Management	Biology	Chemistry	Reading	Geography	Foreign.languages	Medicine	Law	Cars	Art.exhibitions	Religion	Countryside..outdoors	Dancing	Musical.instruments	Writing	Passive.sport	Active.sport	Gardening	Celebrities	Shopping	Science.and.technology	Theatre	Fun.with.friends	Adrenaline.sports	Pets
17	1	1	1	1	1	5	2	1	4	1	1	1	3	5	1	1	1	2	5	2	2	1	5	1	1	3	4	2	1	5	4	5
18	3	2	2	1	3	3	3	1	5	5	4	2	2	3	1	1	1	1	5	3	1	2	1	3	3	3	3	4	3	3	1	5
19	3	5	3	5	5	5	5	3	3	3	3	1	4	2	1	2	1	1	3	3	1	1	3	3	1	1	2	5	1	3	1	4
20	2	3	3	3	2	5	5	4	2	1	3	4	4	2	1	4	2	1	4	1	5	1	4	2	1	3	3	4	2	5	3	1
21	5	3	4	2	3	5	4	2	4	4	3	3	4	4	2	5	2	1	5	1	5	3	5	5	2	2	1	5	2	4	3	3
22	4	4	4	3	1	5	5	5	3	1	1	5	4	2	1	1	2	1	4	1	2	4	5	3	3	1	1	5	4	5	5	5
23	3	4	2	1	1	4	3	3	3	2	2	3	3	3	2	2	1	4	4	3	2	1	3	3	1	1	1	3	2	5	2	5
24	2	2	3	2	3	4	3	2	5	5	5	3	4	4	2	3	2	2	3	5	5	3	2	4	3	3	4	3	5	5	3	5
25	4	5	5	2	1	5	4	2	3	2	4	4	5	4	5	3	4	2	5	5	4	3	4	5	3	4	5	5	5	5	3	3
26	2	2	1	3	1	5	2	5	1	1	4	2	5	1	3	1	2	1	2	4	1	1	3	4	1	5	5	1	3	5	1	3
27	3	3	1	2	3	5	2	1	5	5	4	3	3	2	1	4	2	4	5	3	2	2	4	5	5	4	4	3	1	4	4	5
28	2	2	3	1	3	4	2	2	5	5	2	2	4	4	1	1	2	2	3	1	1	1	3	4	2	2	5	2	1	4	2	5
29	5	1	1	1	2	5	2	1	1	1	1	4	4	2	3	5	1	1	3	3	1	1	5	5	1	3	5	3	1	5	4	3
30	5	4	2	2	2	4	3	4	4	2	5	3	5	3	2	2	4	2	5	4	2	2	5	4	3	4	4	3	4	5	3	2
31	2	3	3	1	1	4	3	3	3	1	4	4	4	4	4	4	2	2	4	1	1	1	1	5	1	2	4	4	2	5	4	3
32	4	4	2	2	2	3	2	2	2	2	5	5	4	1	1	3	4	1	5	4	1	2	3	1	3	1	2	1	3	4	2	1
33	4	5	3	1	1	5	4	3	1	1	3	3	3	1	2	3	4	2	2	1	2	1	2	2	1	4	5	3	3	5	1	5
34	5	3	5	2	1	5	4	4	4	3	5	5	5	5	4	1	5	1	5	3	3	1	5	4	4	3	3	3	4	5	5	5
35	4	5	4	3	1	5	4	4	3	1	3	2	5	3	2	5	3	5	5	2	3	2	5	3	1	1	3	5	3	5	5	1
36	1	1	1	1	1	5	3	1	1	1	5	3	5	1	5	4	2	3	3	4	1	1	3	3	3	3	4	2	5	5	2	5
37	4	5	3	3	3	5	3	2	5	5	5	3	4	5	3	4	3	2	4	1	1	1	2	1	2	4	4	4	4	5	1	5
38	3	3	5	3	3	4	3	2	5	3	2	2	4	3	3	2	2	5	5	1	5	1	3	5	5	2	4	4	1	5	5	3
39	3	4	4	3	2	5	2	5	5	1	5	3	5	4	3	1	4	2	4	5	3	5	3	4	4	2	4	3	3	5	1	5
40	4	1	1	1	1	5	2	2	3	5	3	3	1	5	1	4	1	3	5	1	2	1	5	5	2	2	4	5	2	3	3	5
41	2	1	1	2	1	5	4	3	2	1	1	3	3	2	2	1	1	1	3	1	1	1	3	1	1	5	5	3	1	2	1	2
42	5	4	5	5	5	5	5	1	1	5	5	3	3	3	1	1	1	5	5	2	4	1	1	5	1	1	1	3	1	5	5	3
43	2	5	1	5	1	5	5	5	5	2	3	2	5	4	3	3	2	2	3	1	2	1	3	1	1	2	4	4	2	5	3	5
44	2	4	2	1	1	5	3	5	1	1	3	5	5	1	2	2	5	1	3	2	2	5	4	3	1	3	5	3	3	5	2	5
45	4	5	5	3	4	4	3	4	3	2	5	4	3	1	4	1	3	4	3	3	1	3	4	2	2	5	5	4	4	5	5	5
46	5	5	5	5	5	5	5	2	1	1	3	1	2	2	1	1	1	4	2	5	5	1	4	5	1	4	3	5	2	5	1	4
47	4	3	1	2	2	4	4	2	2	1	5	4	5	2	1	5	5	4	5	3	4	1	3	5	1	4	5	3	3	5	5	4
48	2	3	1	2	1	5	3	4	2	1	5	3	5	3	1	2	1	1	3	1	1	1	2	2	1	2	4	2	4	5	2	5
49	2	4	3	2	2	4	2	4	3	2	2	3	5	3	2	2	2	2	4	5	2	1	3	4	2	2	3	3	4	3	2	2
50	2	2	2	1	1	5	3	3	2	1	5	2	4	1	1	3	1	1	2	1	1	1	2	1	1	2	5	3	2	5	1	5
51	3	4	1	4	1	4	2	1	5	5	4	3	4	5	1	1	3	4	3	1	1	1	3	4	1	4	4	4	2	4	4	5
52	2	4	4	5	5	5	5	2	5	5	3	3	4	5	2	4	3	3	3	5	2	1	5	5	2	2	3	5	2	4	1	4
53	5	4	3	3	2	4	2	2	3	4	5	3	4	2	2	3	4	2	5	5	5	5	5	5	3	1	4	4	4	5	5	3
54	3	3	4	1	1	3	2	2	4	2	4	5	5	4	3	5	5	5	4	5	4	1	5	5	3	1	3	3	5	5	3	1
55	5	3	4	1	4	3	1	1	3	4	5	3	4	3	2	2	5	2	5	4	4	2	5	4	1	1	2	3	5	5	1	1
56	4	5	2	2	3	5	4	3	3	4	3	4	5	3	3	2	3	2	4	4	2	1	1	3	1	3	3	4	2	4	4	5
57	3	4	4	4	3	4	4	4	2	1	5	2	5	2	4	3	5	2	3	2	1	3	5	1	2	2	2	3	4	5	2	3
58	5	5	2	1	1	5	1	3	3	1	5	2	3	3	2	1	5	4	5	2	2	1	5	3	1	5	5	3	5	5	2	5
59	3	3	1	3	2	4	3	1	5	4	1	5	4	5	1	2	1	1	4	2	1	1	5	3	3	2	4	4	1	5	3	3
60	4	4	5	1	1	3	3	2	1	1	5	5	3	1	3	1	4	1	1	1	1	3	1	1	1	1	1	1	1	3	1	1
61	4	5	4	4	4	5	4	4	2	2	5	4	4	3	2	3	5	4	4	2	5	5	3	4	2	1	2	4	4	4	3	1
62	3	3	3	3	4	5	4	4	1	1	1	3	3	3	3	4	3	1	3	1	1	1	4	1	1	2	3	3	3	5	2	5
63	5	4	4	4	5	5	5	3	3	3	2	5	4	3	3	5	2	1	4	1	2	1	5	5	1	1	2	5	2	5	5	1
64	4	2	3	2	2	4	3	4	1	1	2	3	3	2	4	5	3	3	3	1	1	1	5	5	1	2	3	4	2	5	5	3
65	1	2	2	1	3	5	2	1	5	5	2	1	5	5	1	1	2	1	1	2	1	1	2	1	1	3	5	4	5	5	4	5
66	5	2	3	2	1	5	3	2	1	1	1	5	3	3	1	2	1	2	3	1	1	1	3	3	1	2	2	2	1	3	3	3
67	3	2	2	5	5	4	3	2	1	2	1	4	2	1	1	4	2	1	3	1	1	1	5	5	1	3	3	4	2	4	2	1
68	2	3	3	4	2	3	1	5	2	2	3	3	4	3	3	1	2	2	3	5	2	2	1	3	4	3	3	2	3	5	2	4
69	2	2	3	5	2	5	2	4	3	5	2	3	4	1	4	3	2	5	4	1	2	1	5	1	1	1	3	4	3	5	1	4
70	2	2	2	1	1	3	1	1	5	5	3	1	3	4	1	2	3	1	3	3	1	1	1	1	1	5	5	3	3	5	1	4
71	2	1	3	1	1	3	3	3	1	1	2	1	3	1	5	5	2	1	5	2	1	1	1	5	2	2	4	3	1	5	5	2
72	5	1	5	2	1	4	2	4	1	1	3	4	2	1	5	5	1	1	3	1	1	1	1	5	1	4	4	4	1	5	3	5
73	3	2	1	1	1	4	3	1	1	1	2	2	3	1	1	3	1	2	5	3	3	1	4	3	2	2	3	1	2	5	4	2
74	4	3	4	1	1	5	5	3	2	2	2	4	5	1	2	5	2	5	5	5	3	1	3	5	1	2	5	5	2	5	1	5
75	4	3	5	1	1	4	3	4	1	1	1	4	5	1	3	5	3	2	5	1	5	3	2	5	1	1	3	2	2	4	4	3
76	5	5	4	2	1	5	4	5	4	1	2	5	5	5	2	5	5	5	5	2	5	2	5	5	1	3	4	4	4	5	3	4
77	2	2	5	1	1	4	4	2	1	1	2	2	3	1	3	5	1	2	3	3	1	1	3	5	1	1	4	5	1	5	4	3
78	4	2	1	1	1	3	1	1	5	5	5	5	5	3	1	1	4	1	5	5	1	1	3	5	1	1	5	3	5	5	3	1
79	2	5	1	3	1	4	4	4	5	5	5	5	5	4	1	1	5	1	5	2	2	3	1	5	5	1	2	5	5	5	5	3
80	4	3	5	2	1	5	3	5	3	1	1	3	5	2	5	4	2	1	4	3	2	1	4	3	2	1	5	4	3	5	4	5
81	5	4	4	1	2	5	3	3	2	1	2	2	3	2	5	3	2	1	4	5	2	1	5	5	1	3	4	3	2	5	4	5
82	3	2	1	1	2	5	5	4	1	2	2	3	4	1	4	5	3	2	3	5	1	1	4	5	1	2	3	5	2	5	4	2
83	4	5	1	1	1	5	1	1	2	1	5	3	4	1	1	1	5	4	5	1	3	2	5	1	4	1	3	2	3	4	3	5
84	3	2	1	1	1	5	3	3	5	3	2	2	4	5	5	4	3	1	5	3	1	1	3	1	3	1	3	3	5	5	5	5
85	5	5	4	1	1	4	4	1	4	4	5	5	5	3	3	3	3	3	5	1	1	1	5	1	1	1	4	4	5	5	3	5
86	4	3	1	5	5	5	5	3	2	2	2	3	3	3	2	3	5	1	5	2	4	1	4	4	2	2	4	5	5	4	3	1
87	5	5	5	4	4	5	4	5	4	4	5	5	4	4	4	4	5	5	5	4	4	4	5	5	2	1	2	5	5	5	4	2
88	5	4	5	2	1	5	2	4	3	2	3	4	5	1	4	1	2	2	3	5	1	1	2	5	1	2	5	3	4	5	5	3
89	5	1	5	1	1	5	1	1	4	1	5	5	5	1	3	1	3	5	3	4	1	5	1	1	2	5	5	3	3	5	1	5
90	3	3	3	1	1	3	1	2	2	1	4	3	4	2	2	1	4	3	3	2	1	1	2	2	1	3	3	1	4	4	1	2
91	1	1	1	1	1	4	1	1	2	2	3	1	4	4	1	3	1	4	4	1	3	1	5	1	1	1	4	3	2	5	2	3
92	1	1	1	1	1	4	5	1	5	1	1	1	5	5	1	1	1	1	5	5	1	1	5	3	1	3	3	1	3	5	4	1
93	4	3	2	3	3	3	2	2	2	2	5	4	5	2	1	1	5	4	5	3	2	4	2	2	1	2	3	2	4	4	2	3
94	2	3	1	4	4	5	5	3	2	2	1	5	2	1	2	5	3	1	4	1	2	1	4	4	1	1	1	5	1	5	4	3
95	3	2	1	1	1	5	5	3	2	2	2	3	4	2	2	4	2	2	4	1	2	1	2	1	1	1	2	4	2	4	2	3
96	4	4	4	1	2	5	5	2	2	1	1	5	4	1	2	5	3	1	4	1	1	1	4	2	1	3	3	5	3	5	5	4
97	1	1	1	1	1	2	1	1	3	4	1	1	1	5	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	5	1	1
98	3	2	2	4	1	5	5	2	1	1	3	1	4	1	2	2	1	4	4	1	1	1	1	5	2	1	1	4	1	3	3	5
99	1	1	1	1	2	3	4	1	2	1	3	5	5	2	1	1	3	1	5	1	1	1	5	5	1	1	3	5	1	5	5	1
100	3	4	1	5	5	5	1	1	3	5	3	5	4	1	1	2	2	2	5	3	1	1	4	2	1	1	5	3	3	4	1	4
101	3	1	2	2	3	5	5	2	5	5	3	2	4	5	1	2	3	4	4	1	4	1	4	1	3	3	4	3	3	5	3	2
102	5	1	4	1	1	4	3	1	1	1	5	4	3	1	2	3	1	3	3	1	1	1	5	1	1	2	1	3	1	5	1	3
103	5	5	5	4	4	5	4	2	4	4	5	5	5	5	4	2	4	2	5	4	4	2	1	5	2	1	1	2	4	5	3	1
104	5	4	4	2	2	5	5	2	2	1	5	5	5	2	4	5	2	5	4	4	4	1	5	3	1	4	4	5	4	5	2	1
105	5	4	5	2	2	3	3	4	2	2	2	4	3	2	5	4	4	3	3	2	2	3	3	3	2	1	2	3	3	4	3	2
106	4	2	2	1	1	3	3	1	1	4	3	1	3	1	3	3	1	3	5	1	1	1	4	5	3	1	3	4	3	3	1	4
107	4	4	3	3	1	4	4	5	2	1	2	3	5	1	2	3	1	2	4	2	1	1	5	2	1	2	2	5	2	5	3	1
108	1	2	4	1	3	4	1	2	5	5	5	2	1	5	2	4	5	4	4	2	1	4	2	5	2	1	3	2	5	5	5	4
109	1	3	2	3	2	4	4	1	1	1	2	1	4	1	1	2	1	1	1	1	5	4	4	1	1	1	4	2	3	2	1	3
110	3	3	4	2	2	4	5	4	2	2	1	2	3	3	2	5	2	3	3	1	1	1	2	2	1	1	2	4	1	4	2	1
111	3	4	1	2	3	5	2	2	5	1	1	5	4	3	1	1	1	2	5	1	1	3	2	4	1	1	2	4	1	4	4	3
112	3	4	1	1	1	4	1	1	3	2	5	3	5	3	2	1	5	3	5	3	2	4	1	3	2	2	2	3	4	5	3	1
113	2	3	1	2	1	3	1	1	5	4	5	3	4	5	2	1	4	3	4	5	2	1	3	2	3	1	3	5	5	4	1	3
114	2	2	1	1	2	3	2	1	3	3	1	2	1	1	1	4	2	1	5	1	1	1	5	3	5	4	4	2	2	4	4	5
115	5	3	1	1	1	5	3	2	1	1	5	3	5	3	1	2	5	1	4	1	1	4	1	1	2	2	5	4	4	5	4	5
116	2	5	3	1	3	5	3	2	3	3	3	4	5	4	2	5	4	2	4	5	3	3	3	4	3	1	5	4	4	5	3	3
117	2	4	2	1	2	3	1	1	1	3	5	1	4	1	1	1	2	2	3	1	5	5	1	1	1	1	3	1	2	4	1	4
118	2	2	2	5	2	5	5	3	2	1	1	2	2	1	1	5	1	1	4	1	1	1	1	1	2	4	3	3	2	2	1	5
119	3	2	4	4	2	4	4	2	2	2	4	4	3	2	1	2	4	1	5	1	2	2	4	1	2	1	2	3	2	4	3	4
120	4	4	2	4	2	5	1	1	2	4	3	4	1	3	1	1	2	2	4	1	3	3	2	1	2	1	1	2	2	3	2	3
121	5	3	4	5	5	2	4	5	3	5	5	5	4	3	3	2	1	2	5	4	3	2	1	4	1	1	1	5	5	5	4	5
122	1	3	3	4	3	4	4	3	2	2	1	1	2	3	4	5	1	1	4	1	1	1	3	2	1	3	2	4	1	5	5	3
123	5	2	1	1	1	4	2	1	1	1	5	3	3	1	1	4	5	3	4	2	2	3	4	2	2	2	3	1	5	5	1	4
124	2	3	1	1	3	3	3	2	4	2	3	3	3	3	3	2	4	4	4	1	5	4	2	4	4	1	2	3	4	5	2	4
125	4	4	4	1	3	4	5	3	2	2	4	4	4	4	4	4	5	3	5	2	5	3	4	5	1	1	1	5	4	4	5	4
126	4	4	4	2	2	3	2	2	3	2	5	2	4	3	3	1	4	2	5	4	5	5	4	3	4	1	4	3	5	5	2	5
127	5	2	2	2	1	5	3	1	1	1	4	2	5	1	1	3	2	2	3	1	1	2	1	1	2	3	4	2	2	5	1	1
128	4	4	4	3	2	5	4	3	2	1	4	5	4	3	2	4	3	4	4	1	1	3	4	1	2	1	2	4	3	5	4	2
129	4	5	3	3	5	5	5	1	3	5	5	5	5	1	1	1	5	5	5	5	5	5	1	3	5	1	2	5	5	5	5	5
130	4	3	2	1	1	4	2	1	5	4	3	2	3	5	2	1	3	5	3	2	1	1	2	1	1	1	5	3	1	5	1	5
131	5	3	5	2	1	5	4	4	1	1	5	5	4	2	5	1	4	3	4	2	1	4	5	3	2	4	5	4	4	5	3	1
132	1	3	4	1	1	5	4	1	1	1	1	1	4	1	1	4	1	1	5	2	1	1	5	1	1	2	4	4	3	5	5	3
133	1	5	2	4	1	5	3	2	4	1	4	5	5	3	2	1	1	2	3	1	1	1	2	1	1	3	2	4	2	3	3	5
134	4	1	1	1	1	2	1	1	3	1	5	3	4	2	1	1	5	5	5	5	5	3	3	4	3	1	3	1	5	4	1	4
135	3	3	3	1	2	3	3	3	3	3	3	3	3	4	3	3	3	1	3	3	2	1	1	3	3	2	2	4	4	4	4	4
136	5	2	1	3	2	4	4	1	3	1	4	4	5	2	5	4	4	2	4	1	3	1	4	4	2	3	2	5	4	5	1	5
137	4	2	5	2	4	5	4	3	5	5	3	3	3	5	2	2	1	5	3	4	1	2	5	5	4	1	3	5	5	5	3	3
138	4	3	3	3	3	5	4	2	4	3	4	5	5	3	2	5	4	3	3	1	1	4	3	1	1	2	3	2	2	3	1	1
139	2	3	2	1	1	3	1	2	5	4	5	3	5	5	1	1	1	5	5	2	5	3	2	4	1	2	3	2	2	4	1	3
140	1	3	1	2	1	4	3	1	3	2	3	1	4	1	3	1	4	3	5	5	5	3	2	4	2	4	4	2	3	5	3	5
141	5	4	3	2	2	3	1	1	1	1	4	3	5	2	2	3	5	5	5	1	4	3	2	1	1	2	3	2	4	4	5	5
142	3	5	1	5	5	5	5	5	3	4	4	1	5	1	1	1	1	1	5	1	1	1	1	3	1	1	1	5	3	3	1	5
143	1	2	2	2	1	5	5	4	1	1	4	4	3	1	2	2	1	1	5	5	1	1	3	4	1	3	5	5	4	4	1	1
144	3	4	2	1	1	5	3	2	1	1	3	1	3	1	1	4	1	1	3	3	1	1	5	2	1	2	4	3	1	5	1	5
145	3	4	1	1	4	5	5	1	5	5	2	3	3	5	1	1	4	1	5	3	3	1	4	4	1	1	3	5	4	5	3	3
146	2	4	2	1	2	4	2	1	2	1	3	3	4	4	2	1	2	3	2	1	2	4	2	1	1	2	2	2	2	4	3	2
147	5	3	5	1	1	5	5	3	2	1	4	4	5	3	5	4	2	5	5	1	1	1	5	5	1	2	4	3	4	5	2	4
148	4	2	3	5	5	5	4	2	2	3	5	5	4	2	2	2	1	3	5	1	1	3	4	1	1	1	1	5	2	2	2	3
149	3	4	3	4	4	5	5	3	3	4	1	4	4	3	3	1	2	5	4	3	2	3	3	4	1	2	2	4	2	3	2	1
150	2	3	1	5	5	3	5	3	2	3	2	3	3	2	1	2	1	3	4	1	1	1	2	3	1	1	2	4	2	3	3	1
151	2	3	4	3	3	4	4	5	2	2	4	4	4	2	1	3	3	1	4	1	1	1	5	4	1	2	3	5	3	5	3	1
152	4	4	4	2	2	3	3	1	2	1	3	4	2	3	2	2	3	4	2	1	1	1	4	5	1	4	2	3	4	5	2	3
153	5	5	5	2	1	4	2	5	2	2	2	3	5	5	3	1	1	2	1	1	1	5	3	5	1	1	3	4	2	5	4	4
154	5	3	5	1	2	4	2	3	2	1	4	2	3	2	2	4	3	4	3	1	1	1	3	3	2	4	5	4	2	3	2	1
155	5	1	5	3	4	5	5	5	2	2	1	5	5	2	4	2	1	2	3	1	3	1	1	1	1	1	2	5	1	5	1	3
156	4	5	2	3	2	3	2	1	4	3	4	3	5	4	5	2	3	1	3	4	5	4	3	3	3	2	3	4	3	3	4	4
157	5	2	4	1	1	5	2	1	1	1	5	4	5	1	5	1	1	3	3	1	1	1	3	2	1	1	4	1	1	4	1	4
158	3	4	3	2	2	4	4	2	2	2	4	3	2	2	2	2	2	4	5	1	1	1	3	1	1	2	2	3	2	5	4	2
159	1	2	1	3	2	5	3	1	3	3	4	4	4	2	1	1	4	1	5	2	5	4	5	5	3	4	5	4	4	5	2	5
160	4	4	4	3	2	4	3	4	4	2	4	5	4	3	3	3	3	4	5	3	4	2	5	4	3	2	2	3	4	5	5	5
161	4	3	5	5	4	5	4	5	2	3	1	5	4	1	2	4	3	1	2	4	5	4	5	5	1	1	1	4	2	5	4	1
162	2	2	1	1	1	4	2	1	5	5	5	2	4	4	1	1	2	1	3	1	1	4	4	2	3	4	5	3	2	5	3	5
163	5	3	3	1	1	5	2	2	1	1	3	5	5	1	3	4	1	2	3	1	1	1	1	5	1	1	1	2	1	3	2	2
164	5	5	3	1	1	5	3	3	3	3	2	2	2	2	1	1	1	5	1	2	1	1	1	1	1	1	1	1	1	3	1	1
165	3	3	2	1	1	4	4	1	2	1	4	1	4	1	2	1	3	2	1	1	1	4	1	3	2	5	5	1	4	4	1	4
166	3	4	5	2	1	5	4	4	1	1	5	4	5	2	5	2	4	3	5	4	4	2	2	2	1	2	5	4	5	5	4	2
167	2	2	2	2	2	2	2	3	2	4	4	3	4	2	1	1	3	1	4	1	3	1	2	5	1	1	2	3	4	4	3	1
168	3	3	3	1	2	4	3	3	3	2	1	3	1	2	2	2	1	1	2	1	1	1	5	2	1	1	2	4	1	3	2	4
169	3	4	4	1	1	5	5	5	1	1	4	3	3	1	5	2	1	1	1	1	1	4	4	4	1	3	4	5	3	5	5	1
170	4	2	2	1	1	3	1	1	2	1	5	3	5	1	2	1	4	2	3	1	4	4	1	1	1	1	3	1	5	4	3	4
171	5	4	5	5	3	3	1	5	4	1	3	5	4	4	4	1	2	3	5	2	5	3	3	5	1	1	1	1	3	5	3	4
172	4	4	4	1	1	5	5	5	1	1	4	3	3	1	5	1	1	1	1	1	1	4	4	4	1	4	4	5	3	5	4	1
173	5	4	4	3	3	5	5	2	2	2	2	5	4	2	3	2	2	1	4	1	1	5	5	2	1	1	1	5	3	5	2	3
174	3	2	1	4	2	5	5	2	2	3	1	2	4	2	1	5	1	1	4	1	1	2	4	3	1	1	4	5	3	5	2	5
175	5	1	3	1	1	5	1	2	1	2	4	5	3	3	3	5	5	5	4	5	5	5	5	3	5	3	5	5	5	4	1	3
176	1	5	1	1	1	4	1	1	3	1	5	1	5	5	1	5	1	1	4	1	5	1	5	4	2	3	1	1	3	3	3	5
177	1	1	1	5	4	5	5	4	1	2	1	1	3	1	2	5	3	1	5	2	2	1	1	5	1	1	3	4	3	4	3	4
178	3	3	1	1	1	4	1	1	1	1	4	3	2	2	1	1	3	1	5	1	3	4	4	4	4	3	2	4	3	5	1	5
179	4	4	1	3	3	3	3	1	3	3	4	3	5	3	1	1	2	3	3	1	1	4	1	1	3	2	3	3	3	3	1	3
180	5	5	3	2	2	5	3	2	4	2	2	2	4	3	3	1	4	4	5	3	4	2	2	3	2	1	4	4	2	3	4	4
181	4	5	5	4	3	5	3	5	1	1	5	4	4	1	1	5	1	1	1	1	1	1	1	1	1	1	5	4	4	5	5	1
182	4	4	2	2	3	3	3	3	2	2	3	3	3	3	3	5	3	4	3	2	2	2	3	3	2	2	2	3	3	4	2	2
183	3	2	3	2	2	4	2	2	5	4	4	2	4	5	2	2	3	2	4	1	1	1	3	4	2	2	5	5	5	5	3	5
184	5	5	5	2	2	4	1	2	4	2	5	5	3	3	1	1	4	1	5	3	1	3	3	5	3	1	3	5	4	5	5	5
185	3	3	1	1	1	3	1	1	1	1	5	3	2	1	1	1	5	3	1	2	1	5	2	2	1	1	3	2	5	3	1	2
186	2	5	2	5	2	3	2	1	5	1	5	2	3	1	2	2	3	5	5	1	2	1	5	3	5	1	3	2	5	5	4	5
187	3	3	3	1	1	2	1	4	1	1	5	3	2	1	2	1	2	3	4	3	2	1	3	4	4	3	4	1	4	4	2	4
188	5	3	1	1	1	5	2	1	1	1	3	2	2	1	1	1	2	1	2	1	1	3	2	1	1	2	1	2	1	2	3	2
189	4	1	3	1	5	5	5	1	2	5	5	4	3	5	3	3	1	5	5	2	2	3	3	3	3	2	2	3	3	3	3	4
190	4	3	2	3	1	5	3	3	1	1	5	2	5	1	2	1	2	2	4	3	1	1	2	3	1	1	2	3	1	3	3	1
191	3	3	2	5	3	5	4	3	5	4	5	3	3	4	1	2	1	1	2	1	1	1	4	5	4	1	3	3	2	4	4	2
192	3	4	1	1	1	4	4	1	1	1	3	2	1	1	1	1	5	1	3	4	5	1	2	2	4	3	2	1	5	4	1	2
193	3	3	2	1	1	5	4	4	3	1	3	2	5	1	2	1	2	1	3	4	1	5	2	4	1	5	4	1	2	5	2	5
194	3	3	1	1	3	3	2	1	3	1	4	2	2	2	1	1	3	3	4	1	3	4	4	4	4	1	2	3	3	5	1	5
195	2	3	2	1	1	4	4	4	1	1	4	3	4	1	3	3	3	1	3	1	5	3	5	2	1	1	2	4	2	4	4	1
196	3	3	2	1	1	5	5	3	3	1	2	5	4	3	3	4	2	2	3	2	2	3	4	4	3	4	4	5	3	4	3	1
197	4	4	2	1	1	5	3	3	3	1	4	4	5	4	2	3	2	1	5	3	1	1	5	5	1	2	3	3	3	5	4	1
198	2	1	1	1	1	4	2	4	1	1	1	4	3	1	1	3	1	1	5	5	1	1	5	1	1	2	4	1	4	5	1	4
199	4	3	2	1	1	3	4	1	1	1	2	1	3	1	1	4	1	1	4	1	3	1	2	4	1	1	2	3	1	5	3	4
200	2	2	1	1	2	3	3	2	2	1	4	3	3	1	1	4	3	1	4	4	2	1	3	5	1	1	3	4	1	5	5	3
201	3	2	3	1	3	5	5	3	1	1	3	4	4	2	2	3	2	1	1	1	1	1	5	2	1	1	2	4	2	2	2	5
202	4	5	1	1	1	5	2	5	1	1	5	5	5	1	5	1	1	1	5	1	5	5	4	4	1	4	5	5	5	5	1	5
203	2	2	2	1	1	4	4	3	5	4	1	3	5	3	1	4	1	1	2	5	2	1	3	4	1	3	4	4	1	5	3	4
204	2	2	1	3	2	5	4	3	5	5	3	1	4	5	3	4	3	2	3	5	1	1	4	3	3	1	4	1	2	5	4	3
205	1	2	1	4	3	5	4	3	1	2	5	2	2	1	1	1	1	1	3	1	3	1	1	1	1	1	1	4	4	4	1	3
206	5	4	1	1	2	2	2	1	4	4	5	3	5	5	1	1	4	4	4	4	3	5	1	4	4	1	1	4	5	5	1	2
